Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,COUNT
SLC5A12,0,0,0,0,0,0,0,0,0,0,0,0
CCDC88C,0,1,0,1,1,1,1,1,0,0,0,6
CDC45,0,0,1,0,0,0,0,0,1,1,1,4
ACVRL1,0,0,0,0,0,0,0,0,0,0,0,0
NCOA4,0,0,0,0,0,0,0,0,0,0,0,0
TUBA4A,0,0,0,0,0,0,0,0,0,0,0,0
DLST,0,0,1,0,0,0,0,0,0,0,0,1
SUSD1,0,0,0,0,0,0,0,1,0,0,0,1
KLHDC9,1,0,0,0,0,0,1,0,0,0,0,2
AIRE,1,0,0,0,0,0,0,0,0,0,0,1
SNX24,0,0,0,0,0,0,0,0,0,0,0,0
SLIT3,0,0,1,1,1,1,0,0,0,0,0,4
FASTK,0,1,0,1,1,1,0,0,0,0,0,4
PPP1R1B,0,0,0,0,0,0,0,0,0,0,0,0
BIK,0,0,0,0,0,0,0,0,0,0,0,0
IGFBP5,0,0,0,1,1,1,0,0,0,0,0,3
NDUFS2,0,1,0,1,1,1,0,0,1,1,1,7
S1PR2,1,0,0,0,0,0,0,0,0,0,0,1
AGR3,0,0,0,0,0,0,0,0,0,0,0,0
UBXN1,0,0,1,0,0,0,0,0,0,0,0,1
DNAJC14,0,0,0,1,1,1,1,0,0,0,0,4
QDPR,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R8,0,0,0,0,0,0,0,0,0,0,0,0
KSR1,0,0,1,0,0,0,0,0,0,0,0,1
SEC24D,1,0,0,1,1,1,0,1,0,0,0,5
KIF20B,1,0,0,0,0,0,0,0,0,0,0,1
NT5DC3,0,0,0,0,0,0,0,0,0,0,0,0
DNAJA3,0,0,0,0,0,0,0,0,0,0,0,0
PSKH2,0,0,1,0,0,0,0,0,0,0,0,1
PUM2,0,0,0,0,0,0,0,0,1,1,1,3
M6PR,0,0,0,0,0,0,0,0,0,0,0,0
IFI44,1,0,0,0,0,0,0,0,0,0,0,1
LOXL1,0,0,0,1,1,1,0,0,0,0,0,3
MX1,0,0,0,0,0,0,0,0,0,0,0,0
ULK1,0,1,1,0,0,0,1,0,1,1,1,6
RAB3C,1,1,0,0,0,0,0,0,0,0,0,2
PNPO,0,0,1,0,0,0,0,0,0,0,0,1
GNAQ,0,0,0,0,0,0,0,1,0,0,0,1
CABP4,0,0,0,1,1,1,0,0,0,0,0,3
NOP56,1,0,0,0,0,0,0,0,0,0,0,1
CXXC4,1,0,0,0,0,0,0,0,0,0,0,1
UBA3,1,0,0,0,0,0,0,0,0,0,0,1
PITHD1,0,0,0,0,0,0,0,0,1,1,1,3
MED7,0,0,0,0,0,0,0,0,0,0,0,0
NFE2L2,1,1,0,0,0,0,0,0,0,0,0,2
TAS2R13,1,0,0,0,0,0,0,0,1,1,1,4
TMTC2,1,0,0,0,0,0,0,0,0,0,0,1
USP36,1,0,0,1,1,1,0,0,0,0,0,4
RABAC1,0,0,0,0,0,0,0,0,0,0,0,0
GDPD3,0,0,0,0,0,0,0,0,0,0,0,0
KRT82,0,1,0,1,1,1,1,0,0,0,0,5
LCE3C,0,0,0,0,0,0,0,0,0,0,0,0
ZNF138,1,1,0,0,0,0,0,0,0,0,0,2
ERCC3,1,0,0,0,0,0,0,0,0,0,0,1
IPO9,0,0,0,0,0,0,0,0,0,0,0,0
DRAP1,0,0,0,0,0,0,0,0,1,1,1,3
PGAP1,0,1,0,0,0,0,0,0,0,0,0,1
ZNRF2,0,0,0,0,0,0,0,0,0,0,0,0
NRIP3,1,0,0,0,0,0,0,0,0,0,0,1
POLB,0,0,0,0,0,0,0,0,0,0,0,0
CHMP7,1,0,0,0,0,0,0,0,0,0,0,1
STX5,0,0,0,0,0,0,0,0,0,0,0,0
TNFSF10,0,0,0,0,0,0,0,0,0,0,0,0
GFOD2,0,0,0,0,0,0,0,0,0,0,0,0
RAB7A,1,0,0,0,0,0,0,0,0,0,0,1
GATAD1,0,0,0,0,0,0,0,0,0,0,0,0
EFS,0,0,0,0,0,0,1,0,0,0,0,1
CD96,1,0,0,0,0,0,0,0,0,0,0,1
COX8A,0,0,0,0,0,0,0,0,0,0,0,0
KIFC1,0,1,1,0,0,0,0,0,0,0,0,2
UFSP2,0,0,0,0,0,0,0,0,0,0,0,0
EPHB2,0,0,0,0,0,0,0,0,0,0,0,0
MGMT,0,0,0,0,0,0,0,0,0,0,0,0
ANK3,1,1,1,0,0,0,1,1,1,1,1,8
SRPK1,1,0,0,0,0,0,0,0,0,0,0,1
CTF1,0,0,0,0,0,0,0,0,0,0,0,0
CALN1,0,0,0,0,0,0,0,0,0,0,0,0
CHP2,0,0,0,0,0,0,0,0,0,0,0,0
TUFM,1,0,0,0,0,0,0,0,0,0,0,1
RXFP4,0,0,0,0,0,0,0,0,0,0,0,0
OXSM,0,0,0,0,0,0,0,1,0,0,0,1
PODXL2,0,1,1,0,0,0,0,0,0,0,0,2
RUFY2,0,0,0,1,1,1,0,0,0,0,0,3
ALOX15,0,0,0,0,0,0,0,0,0,0,0,0
BTBD8,0,0,0,0,0,0,0,0,0,0,0,0
FAHD2B,0,0,0,0,0,0,0,0,1,1,1,3
DZANK1,1,0,0,0,0,0,0,0,0,0,0,1
MRPL50,0,0,0,0,0,0,0,0,0,0,0,0
CBLC,0,0,0,0,0,0,0,0,0,0,0,0
LCMT2,0,0,0,0,0,0,0,0,0,0,0,0
CIR1,0,0,0,0,0,0,0,0,0,0,0,0
CELF4,0,0,0,1,1,1,0,0,0,0,0,3
VDAC3,0,0,0,0,0,0,0,0,0,0,0,0
SOBP,1,1,0,0,0,0,0,0,0,0,0,2
HPS5,0,0,0,0,0,0,0,0,0,0,0,0
ELOF1,0,0,0,0,0,0,0,0,0,0,0,0
KHK,1,0,0,0,0,0,0,0,0,0,0,1
IGF2BP3,0,0,0,0,0,0,0,0,0,0,0,0
KRT6A,0,0,0,0,0,0,0,0,0,0,0,0
UBR4,1,1,1,0,0,0,0,0,1,1,1,6
RHOF,0,0,0,0,0,0,0,0,0,0,0,0
HSPA4L,1,1,0,0,0,0,0,0,0,0,0,2
RFC4,0,0,0,0,0,0,0,0,0,0,0,0
LMX1B,1,0,0,0,0,0,0,0,1,1,1,4
UBE2W,0,0,0,1,1,1,0,0,0,0,0,3
ZNF669,1,1,0,0,0,0,0,0,0,0,0,2
KCTD9,0,1,1,1,1,1,0,1,0,0,0,6
RC3H1,0,1,0,0,0,0,0,0,0,0,0,1
NR6A1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF257,1,0,0,0,0,0,0,0,0,0,0,1
RNPEP,0,0,0,1,1,1,0,0,0,0,0,3
CTNNBIP1,0,0,0,0,0,0,0,0,0,0,0,0
TXNDC12,1,0,0,0,0,0,0,0,0,0,0,1
CASP6,1,0,0,0,0,0,0,0,0,0,0,1
TEX10,1,0,0,0,0,0,0,0,1,1,1,4
EHD3,0,0,0,0,0,0,0,0,0,0,0,0
RNF220,1,1,0,1,1,1,0,0,0,0,0,5
CEACAM1,0,0,0,0,0,0,0,1,0,0,0,1
ANGPTL2,0,0,1,0,0,0,0,1,0,0,0,2
FGF5,0,0,0,0,0,0,0,0,0,0,0,0
NTN4,1,0,0,0,0,0,0,0,0,0,0,1
CAPRIN2,1,0,0,1,1,1,0,0,0,0,0,4
GOLPH3,0,0,0,0,0,0,0,0,0,0,0,0
NUBPL,0,0,0,0,0,0,0,0,0,0,0,0
GPC5,0,0,1,0,0,0,0,0,0,0,0,1
HSD17B1,0,0,0,0,0,0,0,0,0,0,0,0
THAP5,0,0,0,0,0,0,0,0,0,0,0,0
RFX5,1,0,0,0,0,0,0,1,0,0,0,2
GMCL1,1,0,0,0,0,0,0,0,0,0,0,1
C9orf131,1,1,0,0,0,0,1,0,0,0,0,3
CREB3L2,0,0,0,0,0,0,0,0,0,0,0,0
RAB18,1,0,0,0,0,0,0,0,0,0,0,1
NR3C1,0,0,0,1,1,1,0,0,0,0,0,3
RAB14,0,0,0,0,0,0,0,0,0,0,0,0
KEAP1,0,0,0,0,0,0,0,0,0,0,0,0
CHL1,1,1,0,0,0,0,0,0,0,0,0,2
DMXL2,1,0,1,0,0,0,1,0,0,0,0,3
MORC1,1,1,0,0,0,0,0,0,0,0,0,2
VPS13C,1,0,0,1,1,1,0,0,0,0,0,4
FNIP1,1,0,0,0,0,0,0,1,0,0,0,2
PRSS16,0,0,0,0,0,0,0,0,0,0,0,0
MKX,1,0,0,0,0,0,0,0,0,0,0,1
DLK1,0,0,1,0,0,0,0,0,0,0,0,1
RPL17,0,0,0,0,0,0,0,0,0,0,0,0
LUC7L2,0,0,0,0,0,0,0,0,0,0,0,0
GPR39,1,0,0,0,0,0,0,0,0,0,0,1
KPNA3,0,0,0,0,0,0,0,0,0,0,0,0
RBMS1,0,0,0,1,1,1,0,0,0,0,0,3
TNFRSF10C,0,0,0,0,0,0,0,0,0,0,0,0
AKIRIN2,0,0,0,0,0,0,0,0,0,0,0,0
ITCH,0,0,0,0,0,0,0,0,1,1,1,3
ABT1,1,0,0,0,0,0,0,0,0,0,0,1
B3GALT6,0,0,0,0,0,0,0,0,0,0,0,0
CD36,1,0,0,0,0,0,0,0,0,0,0,1
CCDC77,0,0,0,0,0,0,0,0,0,0,0,0
COMMD10,0,0,0,0,0,0,0,0,0,0,0,0
RRP12,1,0,0,0,0,0,0,0,0,0,0,1
BRAT1,0,0,0,0,0,0,0,0,0,0,0,0
SOCS5,1,0,0,0,0,0,0,0,0,0,0,1
PNPLA5,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A3,0,0,0,0,0,0,0,0,0,0,0,0
SIRPD,0,0,0,0,0,0,0,0,0,0,0,0
TMEM74,1,0,0,0,0,0,0,0,0,0,0,1
KRT73,0,0,0,0,0,0,0,0,1,1,1,3
IL16,0,1,0,0,0,0,0,0,0,0,0,1
CCDC85C,0,0,0,0,0,0,0,0,0,0,0,0
ZFAND3,0,0,0,0,0,0,0,0,0,0,0,0
EIF3A,1,0,0,0,0,0,0,1,0,0,0,2
ILK,1,0,0,0,0,0,0,0,0,0,0,1
METTL5,0,0,0,0,0,0,0,0,0,0,0,0
KLRG2,0,0,0,0,0,0,0,0,0,0,0,0
CLEC2L,0,0,1,0,0,0,0,0,0,0,0,1
CHRDL1,1,0,0,0,0,0,0,0,0,0,0,1
SECISBP2,1,0,0,0,0,0,0,0,0,0,0,1
RNASEL,1,0,0,0,0,0,0,1,0,0,0,2
PDCD2,0,0,0,0,0,0,0,0,0,0,0,0
RPS25,0,0,0,0,0,0,0,0,0,0,0,0
SH3PXD2B,1,1,0,0,0,0,0,1,0,0,0,3
RAC2,0,0,0,0,0,0,0,0,0,0,0,0
WFS1,0,0,0,1,1,1,0,1,0,0,0,4
ACAP1,1,0,0,0,0,0,0,0,0,0,0,1
NOSIP,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1A,1,0,0,0,0,0,0,0,0,0,0,1
SEPHS2,0,0,0,0,0,0,0,0,0,0,0,0
STRN,1,0,0,0,0,0,0,0,0,0,0,1
CD84,1,0,0,0,0,0,0,0,0,0,0,1
BVES,0,0,0,0,0,0,0,0,0,0,0,0
AZI2,1,0,0,0,0,0,0,0,0,0,0,1
KIAA0930,0,0,1,0,0,0,1,0,0,0,0,2
EFNA3,0,0,0,0,0,0,0,0,0,0,0,0
PEX6,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD40,0,0,0,0,0,0,0,0,0,0,0,0
EFR3A,0,0,0,0,0,0,0,0,0,0,0,0
FNTB,1,0,0,0,0,0,0,0,0,0,0,1
SYCE3,0,0,0,0,0,0,0,0,0,0,0,0
RGS4,0,0,0,0,0,0,0,0,0,0,0,0
ZNF618,0,0,0,0,0,0,0,0,0,0,0,0
KANSL3,0,0,1,0,0,0,0,0,0,0,0,1
HSPA13,0,0,0,0,0,0,0,0,0,0,0,0
TULP3,0,0,0,0,0,0,0,0,0,0,0,0
SMCR8,0,1,0,0,0,0,0,0,0,0,0,1
BBS5,1,0,0,0,0,0,0,0,0,0,0,1
AMOTL1,1,1,0,1,1,1,0,0,0,0,0,5
MICB,0,0,0,0,0,0,0,0,0,0,0,0
ANO1,1,0,0,0,0,0,0,0,0,0,0,1
ERF,1,1,1,0,0,0,1,0,0,0,0,4
DBN1,0,1,1,0,0,0,0,0,0,0,0,2
CDC26,1,0,0,0,0,0,0,0,0,0,0,1
RPUSD2,0,1,0,0,0,0,0,0,0,0,0,1
TUBGCP5,0,0,0,0,0,0,0,0,0,0,0,0
PIK3R3,0,0,1,0,0,0,0,0,0,0,0,1
GNPTG,0,0,0,0,0,0,0,1,0,0,0,1
CDSN,0,0,0,0,0,0,0,0,0,0,0,0
TRUB1,0,0,0,0,0,0,0,0,0,0,0,0
USP13,0,0,0,0,0,0,0,0,0,0,0,0
RCOR1,0,1,0,0,0,0,0,0,0,0,0,1
RPL7,0,0,0,0,0,0,0,0,0,0,0,0
PPME1,0,0,0,0,0,0,0,0,0,0,0,0
SLC9A4,1,0,0,0,0,0,0,0,1,1,1,4
POLN,1,0,0,0,0,0,0,0,0,0,0,1
CNOT2,0,1,0,0,0,0,0,0,0,0,0,1
HTR7,0,0,0,0,0,0,0,0,1,1,1,3
FOCAD,1,1,0,0,0,0,0,1,0,0,0,3
INSL3,0,0,0,0,0,0,0,0,0,0,0,0
PIWIL2,1,0,0,0,0,0,0,0,1,1,1,4
PARP8,0,0,0,0,0,0,0,0,0,0,0,0
HNF4A,0,0,0,0,0,0,0,0,0,0,0,0
HOXB2,0,0,0,0,0,0,0,0,0,0,0,0
TFF1,1,0,0,0,0,0,0,0,0,0,0,1
TEKT2,0,1,1,0,0,0,0,0,0,0,0,2
GPR17,0,1,0,0,0,0,0,0,0,0,0,1
DIAPH3,0,0,0,0,0,0,0,0,1,1,1,3
AMY2B,0,1,1,0,0,0,0,1,0,0,0,3
ELAC1,1,0,0,0,0,0,0,0,0,0,0,1
FAM178B,0,0,1,0,0,0,0,0,0,0,0,1
FAM102A,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,0,1,0,0,0,0,0,0,0,0,0,1
LILRB5,1,0,0,0,0,0,0,0,0,0,0,1
SLC18A2,0,0,0,0,0,0,0,0,0,0,0,0
SULT1A2,0,0,0,0,0,0,0,0,0,0,0,0
TP53I11,0,1,0,0,0,0,0,0,0,0,0,1
ZNF426,1,0,1,0,0,0,0,0,0,0,0,2
MMP23B,0,0,0,0,0,0,0,0,0,0,0,0
CRLF1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF131,1,0,0,0,0,0,0,0,0,0,0,1
ILF2,0,0,0,0,0,0,0,0,0,0,0,0
GNGT1,0,0,0,0,0,0,0,0,0,0,0,0
IFNA4,0,0,0,0,0,0,0,0,0,0,0,0
PTX3,0,0,0,0,0,0,0,0,0,0,0,0
ECM1,0,0,0,0,0,0,0,1,0,0,0,1
USH2A,1,1,1,1,1,1,0,0,0,0,0,6
SLC27A5,0,1,0,0,0,0,0,0,0,0,0,1
ANAPC5,0,0,0,0,0,0,0,0,0,0,0,0
DAGLA,0,0,1,0,0,0,0,0,0,0,0,1
KLC1,0,0,0,0,0,0,1,0,0,0,0,1
UGGT2,1,1,0,0,0,0,0,0,0,0,0,2
C2orf42,0,0,1,0,0,0,0,0,0,0,0,1
DENND5A,1,1,1,0,0,0,0,1,0,0,0,4
KCTD4,0,0,0,0,0,0,0,0,0,0,0,0
PWP1,0,0,0,0,0,0,0,0,1,1,1,3
MYBPC2,0,0,0,0,0,0,0,0,0,0,0,0
NHLH2,0,0,0,0,0,0,0,0,0,0,0,0
VPS13B,1,1,1,0,0,0,1,0,1,1,1,7
BAD,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ1,0,0,1,0,0,0,0,0,0,0,0,1
OCIAD1,1,0,0,0,0,0,0,0,1,1,1,4
MRPL34,0,0,0,0,0,0,0,0,0,0,0,0
API5,0,0,0,0,0,0,0,0,0,0,0,0
FBLN7,0,1,0,1,1,1,1,0,0,0,0,5
SCNN1B,0,0,0,1,1,1,0,0,0,0,0,3
RPS20,0,0,0,0,0,0,0,0,0,0,0,0
IBTK,0,0,1,0,0,0,0,0,0,0,0,1
PPP1R2,0,0,0,0,0,0,0,1,0,0,0,1
PMP2,0,0,0,0,0,0,0,0,0,0,0,0
VAV1,0,0,0,0,0,0,0,0,0,0,0,0
DYRK4,0,0,0,0,0,0,0,0,0,0,0,0
NACA2,1,0,0,0,0,0,0,0,0,0,0,1
NLRP4,1,0,0,0,0,0,0,0,0,0,0,1
BBS7,0,1,0,0,0,0,1,0,0,0,0,2
RFC2,0,1,0,0,0,0,0,0,0,0,0,1
FRZB,0,0,0,0,0,0,0,0,0,0,0,0
MRPS26,0,1,0,0,0,0,0,0,0,0,0,1
CYB561A3,0,0,0,0,0,0,0,0,0,0,0,0
TONSL,0,1,1,0,0,0,0,1,0,0,0,3
P2RY6,1,0,0,0,0,0,0,0,0,0,0,1
C12orf4,1,0,0,0,0,0,0,0,0,0,0,1
BAZ2B,1,0,0,0,0,0,0,0,0,0,0,1
PARVA,0,0,0,0,0,0,0,0,0,0,0,0
TET1,1,1,0,0,0,0,1,0,0,0,0,3
HP,1,0,0,0,0,0,0,0,0,0,0,1
CPAMD8,1,0,1,1,1,1,0,1,0,0,0,6
CDH20,1,0,1,0,0,0,1,0,0,0,0,3
LILRB1,1,0,1,0,0,0,0,0,0,0,0,2
DMBT1,1,0,0,0,0,0,0,0,0,0,0,1
GFPT1,0,0,0,0,0,0,0,0,0,0,0,0
ZKSCAN8,0,0,0,0,0,0,0,0,0,0,0,0
SCG5,0,0,0,0,0,0,0,0,0,0,0,0
KLK10,0,0,0,0,0,0,0,0,0,0,0,0
SIRPG,1,0,0,0,0,0,0,0,0,0,0,1
COG7,0,1,0,0,0,0,0,0,0,0,0,1
CALML3,0,0,0,0,0,0,0,0,0,0,0,0
FGF17,0,0,0,0,0,0,0,0,0,0,0,0
THUMPD2,0,0,0,0,0,0,0,0,0,0,0,0
ORMDL1,0,0,0,0,0,0,0,0,0,0,0,0
RNF145,1,0,0,0,0,0,0,0,0,0,0,1
SDF4,0,0,0,0,0,0,1,0,0,0,0,1
THAP8,0,1,0,0,0,0,0,0,0,0,0,1
CDO1,0,0,0,0,0,0,0,0,0,0,0,0
ALDH8A1,0,0,1,0,0,0,0,0,0,0,0,1
MYO1G,1,0,0,1,1,1,0,0,1,1,1,7
RPS12,1,0,0,0,0,0,0,0,0,0,0,1
PPP1R12B,1,1,0,0,0,0,0,0,0,0,0,2
RPL36,0,0,0,0,0,0,0,0,0,0,0,0
STK33,1,0,0,0,0,0,0,0,0,0,0,1
SEC23IP,1,0,0,0,0,0,0,0,0,0,0,1
RNASE6,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K12,0,1,1,0,0,0,0,0,0,0,0,2
ADAT3,0,0,0,0,0,0,0,0,0,0,0,0
BST1,1,0,1,0,0,0,0,0,0,0,0,2
ZZZ3,1,0,0,0,0,0,0,0,0,0,0,1
TSC1,0,0,0,0,0,0,0,1,0,0,0,1
RORA,0,0,0,0,0,0,0,0,0,0,0,0
TOB1,0,0,0,0,0,0,0,0,1,1,1,3
NUP54,0,1,0,0,0,0,0,0,0,0,0,1
MC3R,0,0,0,0,0,0,0,0,0,0,0,0
FANCD2,0,0,0,0,0,0,0,0,0,0,0,0
EPHA7,1,0,1,0,0,0,0,1,0,0,0,3
DNPEP,1,1,0,0,0,0,0,0,0,0,0,2
RSAD2,1,0,1,0,0,0,0,0,0,0,0,2
TLL1,1,0,0,0,0,0,0,1,0,0,0,2
COX18,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB49,0,0,0,0,0,0,0,0,0,0,0,0
SF1,0,0,0,0,0,0,0,0,0,0,0,0
OAT,0,0,0,0,0,0,0,0,0,0,0,0
CCL3,0,0,0,0,0,0,0,0,0,0,0,0
SPTB,0,1,1,0,0,0,0,1,0,0,0,3
NPRL2,0,0,1,0,0,0,0,0,0,0,0,1
TNFRSF13B,0,1,0,0,0,0,0,0,0,0,0,1
EFNA4,0,0,1,0,0,0,0,0,0,0,0,1
CCK,0,0,0,0,0,0,0,0,0,0,0,0
PRKAA2,1,0,1,0,0,0,0,0,1,1,1,5
FAM71F2,0,0,0,0,0,0,0,0,0,0,0,0
ZNF404,1,0,0,0,0,0,0,0,1,1,1,4
ZNF114,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG4B,1,0,0,1,1,1,0,0,0,0,0,4
MOB1B,0,0,0,0,0,0,0,0,0,0,0,0
ZNF18,0,0,0,0,0,0,0,0,0,0,0,0
UBA1,0,1,0,1,1,1,0,0,0,0,0,4
ZFP14,0,0,0,0,0,0,0,0,0,0,0,0
HMGCS2,0,0,0,0,0,0,0,0,0,0,0,0
CDHR2,1,0,0,0,0,0,1,0,0,0,0,2
GRID2,1,0,0,0,0,0,0,0,0,0,0,1
WSB2,1,1,0,0,0,0,0,0,0,0,0,2
SERAC1,1,0,0,0,0,0,0,0,0,0,0,1
DUSP14,0,0,0,0,0,0,0,0,0,0,0,0
HS3ST2,0,0,1,0,0,0,0,0,0,0,0,1
GALNT11,0,1,0,0,0,0,0,0,0,0,0,1
LIX1L,0,0,0,0,0,0,0,0,0,0,0,0
VMP1,1,0,0,0,0,0,0,0,0,0,0,1
DGKB,1,0,1,0,0,0,0,0,0,0,0,2
