Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,COUNT
RUVBL1,1,0,0,0,0,0,0,0,0,0,1
KIR3DL1,0,0,0,0,0,0,0,0,0,0,0
ANO6,0,0,0,0,0,0,0,0,0,0,0
CD48,0,0,0,0,0,0,0,0,0,0,0
PPP1R1B,0,0,0,0,0,0,0,0,0,0,0
TTYH3,0,0,0,0,0,0,0,0,0,0,0
KRT81,0,0,0,0,0,0,0,0,0,0,0
MAN2A2,0,0,0,0,0,0,0,0,0,1,1
MARS,0,1,0,0,0,0,0,0,0,0,1
H2BFM,0,0,0,0,0,0,0,0,0,0,0
LCE3D,0,0,0,0,0,0,0,0,0,0,0
IFI44,1,0,0,0,0,0,0,0,0,0,1
COIL,0,0,0,0,0,0,0,0,0,0,0
HTN1,0,0,0,0,0,0,0,0,0,0,0
NDUFB2,0,0,0,0,0,0,0,0,0,0,0
ALKBH2,0,0,0,0,0,0,0,0,0,0,0
TYRO3,0,0,1,1,0,1,0,0,0,0,3
PROM1,0,0,0,0,0,0,0,0,0,0,0
NUDC,0,0,0,0,0,0,0,0,0,0,0
FAM210B,0,0,0,0,0,0,0,0,0,0,0
ATP1A2,0,0,0,0,0,0,0,0,0,0,0
TMPRSS3,1,0,0,0,0,0,0,0,0,0,1
GLYAT,1,0,0,0,1,0,0,0,0,0,2
TCTN1,0,0,0,0,0,0,0,0,0,0,0
BPIFB3,0,0,1,0,0,0,0,0,0,0,1
ASPA,0,0,0,0,0,0,0,0,0,0,0
IL22RA2,0,0,0,0,0,0,0,0,0,0,0
UBTD2,0,0,0,0,0,1,0,0,0,0,1
CRYBA1,0,0,0,0,0,0,0,0,0,0,0
NUDCD3,0,0,0,0,0,0,0,0,0,0,0
FOXP4,0,0,0,0,0,0,1,0,0,0,1
BIN2,0,0,0,0,1,0,0,0,0,0,1
CLIP4,1,0,0,0,0,0,0,0,1,0,2
CALN1,0,0,0,0,0,0,0,0,0,0,0
C14orf93,0,0,0,0,0,0,0,0,0,0,0
PHACTR2,0,0,0,0,0,0,0,0,0,0,0
FAM118A,0,0,0,0,0,0,0,0,0,0,0
REXO1,0,1,0,0,1,0,0,0,0,0,2
HMBOX1,1,0,0,0,0,0,0,0,0,0,1
SMARCA4,0,0,0,0,0,0,0,0,0,0,0
SPA17,0,0,0,0,0,0,0,0,0,0,0
BLOC1S2,0,0,0,0,0,0,0,0,0,0,0
EMP1,0,0,0,0,0,0,0,0,0,0,0
NUP62,0,0,0,1,0,0,0,0,0,0,1
CTRB1,0,0,0,0,0,0,0,0,0,0,0
ZDHHC20,0,0,0,0,0,0,0,0,0,0,0
CERS2,0,0,0,0,0,0,0,0,1,0,1
IFIT5,0,0,0,0,0,0,0,0,0,0,0
KLK8,0,0,0,0,0,0,0,0,0,0,0
CCDC144A,0,0,0,0,0,0,0,0,0,0,0
ZNF75A,0,0,0,0,0,0,0,0,0,0,0
CEACAM1,1,0,0,0,0,0,0,0,0,0,1
PYGO2,0,0,0,0,0,0,0,0,0,0,0
PTPDC1,1,0,1,0,0,0,0,0,0,0,2
RNF2,0,0,0,0,0,0,0,0,0,0,0
ZEB1,1,0,0,0,0,0,1,1,0,0,3
ARHGDIB,0,0,0,0,0,0,0,0,0,0,0
RFX5,0,0,0,0,0,0,0,0,0,0,0
PTP4A2,0,0,0,0,0,0,0,0,0,0,0
RALGPS2,0,0,0,0,0,1,0,0,0,0,1
A2ML1,1,0,0,1,0,0,0,1,1,0,4
UQCR10,0,0,0,0,0,0,0,0,0,0,0
DDX46,0,0,1,0,0,0,0,0,0,0,1
CYP4F11,1,0,0,0,0,0,0,0,0,0,1
RGS1,0,0,0,0,0,0,0,0,0,0,0
EXOSC1,0,0,0,0,0,0,0,0,0,0,0
IL6,0,0,0,0,0,0,0,0,0,1,1
MAEL,0,0,0,0,0,0,0,0,0,0,0
YIF1A,0,0,0,0,0,0,0,0,0,0,0
FAM74A4,0,0,0,0,0,0,0,0,0,0,0
DOK7,0,0,0,0,1,0,0,0,0,0,1
HIST1H2BN,0,0,0,0,0,0,0,0,0,0,0
ITGB8,0,1,0,0,0,0,0,0,0,0,1
DYDC2,0,0,0,0,0,0,0,0,0,0,0
SELPLG,1,0,0,0,0,0,0,0,0,0,1
BTLA,1,0,0,0,0,0,0,0,0,0,1
STAM,0,1,0,0,0,0,0,0,0,0,1
FGFRL1,0,0,0,0,0,0,0,0,0,0,0
ARHGEF2,0,0,0,0,0,0,0,0,0,0,0
TUBE1,0,0,0,0,0,0,0,0,0,0,0
PDCD2,0,0,1,0,0,0,0,0,0,0,1
INTS4,0,0,0,0,0,0,0,0,0,0,0
ZBTB18,0,0,0,1,0,0,0,0,0,1,2
ADCY6,0,0,0,0,1,0,0,0,0,0,1
PLAGL2,0,0,0,0,0,0,0,0,0,0,0
ZSCAN25,0,0,0,0,0,0,0,0,0,0,0
EIF4G2,1,0,0,0,0,0,0,0,0,0,1
CD163,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,0,0,0,0,0,0,0,0,0,0
ADRA2C,0,0,0,0,0,0,0,0,0,0,0
NMT2,0,0,0,0,0,0,0,0,0,0,0
BBS9,1,0,0,0,0,0,0,0,0,0,1
GPR161,0,0,0,0,0,0,0,0,0,0,0
PTPRN2,1,0,0,0,0,0,0,0,1,0,2
MISP,0,0,0,0,0,0,0,0,0,0,0
CRIPAK,0,0,0,1,0,0,0,0,0,0,1
HM13,0,0,0,0,0,0,0,0,0,0,0
CUTC,0,0,0,1,0,0,0,0,0,0,1
LDLRAD3,0,0,0,0,0,0,0,0,0,0,0
SQLE,0,0,0,0,0,0,0,0,0,0,0
ZNF628,0,0,0,0,0,0,0,0,0,0,0
OSM,0,0,0,0,0,1,1,0,0,0,2
CDC42SE2,0,0,0,0,0,0,0,0,0,0,0
FAIM2,0,0,0,0,0,0,0,0,0,0,0
RASSF7,0,0,0,1,0,0,0,0,0,0,1
PEX13,1,0,0,0,0,0,0,0,0,0,1
ERF,0,0,0,0,0,0,0,0,0,0,0
COL4A1,0,0,0,0,0,0,0,0,0,0,0
KRT27,0,0,0,0,0,0,0,0,0,0,0
RLN3,0,0,0,0,0,0,0,0,0,0,0
ALAS2,0,0,0,0,0,0,0,0,0,0,0
TATDN1,0,0,0,0,0,0,0,0,0,0,0
NQO2,1,0,0,0,0,0,0,0,0,0,1
FSHR,1,1,0,0,0,0,0,0,0,0,2
CENPK,0,0,0,0,0,0,0,0,0,0,0
DHRS7,0,0,1,0,0,0,0,0,0,0,1
SLC5A1,0,0,0,0,0,0,0,0,0,0,0
SERPINB4,0,0,1,0,0,0,0,0,0,0,1
HEATR4,0,0,1,0,0,0,0,1,0,0,2
TBC1D2,0,1,0,0,0,0,0,0,1,0,2
PTGR1,0,0,0,0,0,0,0,0,0,0,0
COL9A2,0,0,0,0,0,0,0,0,0,0,0
FBXW12,0,0,0,0,0,0,0,0,0,0,0
SORBS3,0,0,0,0,0,0,0,0,0,0,0
ATP9A,1,0,0,0,0,0,0,0,1,0,2
DNAJC21,0,0,0,0,0,0,0,0,0,0,0
CYP2E1,0,0,0,0,0,0,0,0,0,0,0
GPT,0,0,0,0,0,0,0,0,0,0,0
IRS2,0,0,0,0,0,0,0,0,0,0,0
SENP2,1,0,0,0,0,0,0,0,0,0,1
STAP2,0,0,0,0,0,0,0,0,0,0,0
ATP1A1,1,0,0,0,0,0,0,0,0,0,1
NAPEPLD,0,0,0,0,0,0,0,0,0,0,0
EDEM3,0,1,0,0,0,1,0,1,0,0,3
PCP4,0,0,0,0,0,0,0,0,0,0,0
MYL5,0,0,0,0,0,0,0,1,0,0,1
PLEKHF2,0,0,0,0,0,0,0,0,0,0,0
ZNF445,0,0,0,0,0,0,0,0,0,0,0
SCNN1B,0,0,0,0,0,0,0,0,0,0,0
CALCOCO1,1,0,0,0,0,0,0,1,0,0,2
CDH13,0,0,0,0,0,0,0,0,0,0,0
TCTN3,0,0,0,0,0,0,0,0,0,0,0
KLHL11,0,0,0,0,0,0,0,0,0,0,0
CBLB,0,0,1,0,0,0,0,0,0,0,1
TMEM255B,0,0,1,0,0,0,0,0,0,0,1
UNC119,0,0,0,0,0,0,0,0,0,0,0
SST,0,0,0,0,0,0,0,0,0,0,0
PCBD1,0,0,0,0,0,0,0,0,0,0,0
PEX11A,1,0,0,0,0,0,0,0,0,0,1
FCN2,0,0,0,0,0,0,0,0,0,0,0
MPC2,0,0,0,0,0,0,0,0,0,0,0
ZNF606,1,1,1,0,0,0,0,0,0,0,3
FBXO30,1,0,0,0,0,0,0,0,0,0,1
GPRC5B,0,0,0,0,0,1,0,0,0,0,1
TLK2,1,0,0,0,1,0,1,0,0,0,3
PARP4,1,0,0,0,1,0,0,0,0,0,2
ZBTB1,0,0,1,1,0,0,0,0,0,0,2
CCDC148,0,0,0,0,0,0,0,0,0,0,0
TMEM98,0,0,0,0,0,0,0,0,0,0,0
RNF212,0,0,0,0,0,0,0,0,0,0,0
ZBTB6,0,1,0,0,0,0,0,0,0,0,1
USP20,0,0,0,0,0,0,0,0,0,0,0
FBLN2,0,0,0,0,0,0,0,0,0,1,1
CA11,0,0,0,0,0,0,0,0,0,0,0
CNOT6,0,0,0,0,0,0,0,0,0,0,0
RBM34,0,0,0,0,0,0,0,0,0,0,0
HMGB1,0,0,0,0,0,0,0,0,0,0,0
SNN,0,0,0,0,0,0,0,0,0,0,0
EXOSC6,0,0,0,0,0,0,0,0,0,0,0
ECHDC2,0,0,0,0,0,0,0,0,0,0,0
ERICH1,0,0,0,0,0,0,0,0,0,0,0
BSND,0,0,0,0,0,0,0,0,0,0,0
P2RY11,0,0,0,0,0,0,0,0,0,0,0
OR10G3,0,0,0,0,0,0,0,0,0,0,0
GPR137C,0,0,0,0,0,0,0,0,0,0,0
TMPO,0,0,0,0,0,0,0,0,0,0,0
MOB1B,0,0,0,0,0,0,0,0,0,0,0
RAB12,0,0,0,0,0,0,0,0,0,0,0
DHODH,0,0,0,0,0,0,0,0,0,0,0
PLBD2,0,0,0,0,0,0,0,0,0,0,0
RAB5A,1,0,0,0,0,0,0,0,0,0,1
SPHK2,0,0,0,0,0,0,0,0,1,0,1
AP1M2,0,0,1,0,0,0,0,0,0,0,1
C12orf50,0,0,0,0,1,0,0,0,0,0,1
CPT2,0,0,1,0,0,0,0,0,0,0,1
JKAMP,1,0,0,0,0,0,0,0,0,0,1
ARHGEF16,0,0,1,0,0,0,0,0,0,0,1
SSMEM1,0,0,0,0,0,0,0,0,0,0,0
PAOX,0,0,0,0,0,0,0,0,0,0,0
NME1,0,0,0,0,0,0,0,0,0,0,0
SIX5,0,1,0,0,0,0,0,0,0,0,1
CPXM1,0,0,0,0,0,0,0,0,0,0,0
WDR61,0,0,0,0,0,0,0,0,0,0,0
EIF2S1,0,0,0,0,0,1,0,0,0,0,1
POU2F3,0,0,0,0,0,0,0,0,0,0,0
ZNF177,0,0,0,0,0,0,0,0,0,0,0
ITGB4,0,1,0,0,0,0,0,1,0,0,2
CRYBB2,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH10,0,0,0,0,0,0,0,0,0,0,0
ARRB2,0,0,0,0,0,0,0,0,0,0,0
PRPF8,0,1,1,0,1,0,0,0,0,0,3
PDZD3,0,0,0,0,0,0,0,0,0,0,0
CD2AP,1,0,0,0,0,0,0,0,0,0,1
TCEA1,0,0,0,0,0,0,0,0,0,0,0
MTHFSD,0,0,0,0,0,0,0,0,0,0,0
UBL4B,0,0,0,0,0,0,0,0,0,0,0
TP53INP2,0,0,0,0,0,0,0,0,0,0,0
ASB1,0,0,1,0,0,0,0,0,0,0,1
PRPF39,0,0,0,0,0,0,1,0,0,0,1
ANGPTL4,0,0,0,0,0,0,0,0,0,0,0
GYPB,1,0,0,0,0,0,0,0,0,0,1
TAS1R1,0,0,0,0,0,0,0,0,0,0,0
MRPL17,0,0,0,1,0,0,0,0,0,0,1
TRIB3,0,0,0,0,0,0,0,0,0,0,0
ZNF300,0,0,0,0,0,0,0,0,0,0,0
UBE2Q2,0,0,0,0,0,0,0,0,0,0,0
TRIM69,1,0,0,0,0,0,0,0,0,0,1
KRT84,0,0,0,0,0,0,0,0,0,0,0
CNNM2,0,1,0,0,0,0,0,0,0,0,1
ESRRG,0,0,0,0,0,0,0,0,0,0,0
TFAP2C,0,0,0,0,0,0,0,0,0,0,0
TYSND1,0,0,0,1,0,0,0,0,0,0,1
BPHL,0,0,0,0,0,0,0,0,0,0,0
POP1,0,0,0,0,0,0,0,0,0,1,1
GUK1,0,0,0,0,0,0,0,0,0,0,0
UCP3,0,1,0,0,0,0,0,0,0,0,1
DTX4,0,1,0,0,0,0,1,0,0,0,2
FDX1,0,0,0,0,0,0,0,0,0,0,0
TNKS1BP1,0,0,0,0,0,0,0,0,0,0,0
KRT77,0,0,0,0,0,0,0,0,0,0,0
FAM151B,0,0,0,0,0,0,0,0,0,0,0
PHLPP1,0,0,0,0,0,1,0,0,0,0,1
PLK2,0,0,0,0,0,0,0,0,1,0,1
CCND2,0,0,0,0,0,0,0,0,0,0,0
ITIH2,0,0,0,0,0,0,0,0,0,0,0
GTF2IRD1,0,0,0,0,0,0,0,0,0,1,1
PRKAR1A,0,0,0,0,1,0,0,0,0,0,1
EPS15L1,0,0,0,0,0,0,0,0,0,0,0
RPL19,0,0,0,0,0,0,0,0,0,0,0
AGPAT2,0,0,0,0,0,0,0,0,0,1,1
ATP9B,0,0,0,0,0,0,0,0,1,0,1
ZNF444,0,0,0,0,0,0,0,0,0,0,0
FAM133B,0,0,0,0,0,0,0,0,0,0,0
NDUFA4,0,0,0,0,0,0,0,0,0,0,0
CTU1,0,0,0,0,0,0,0,0,0,0,0
KCNG2,0,0,0,0,0,0,0,0,0,0,0
WASL,0,0,0,0,0,0,0,0,0,0,0
ANAPC16,0,0,0,0,0,0,0,0,0,0,0
PRDM13,1,0,0,0,0,0,0,0,0,0,1
KLF16,0,0,0,0,0,0,0,0,0,0,0
RASA2,1,0,0,0,0,0,1,0,0,0,2
GTPBP10,0,0,1,0,0,0,0,0,0,0,1
TYMP,0,0,0,0,0,0,1,0,0,0,1
CRB1,1,0,0,0,0,0,1,0,0,1,3
DUSP28,0,0,0,0,0,0,0,0,0,0,0
PHF13,0,0,0,0,0,0,0,0,0,0,0
AGO4,0,0,0,0,0,0,0,0,0,0,0
IL17F,0,0,0,1,0,0,0,0,0,0,1
KATNBL1,0,0,0,0,0,0,0,0,0,0,0
GTF2A1,0,0,0,0,0,0,0,0,1,0,1
JMJD1C,0,0,0,1,1,1,1,0,0,0,4
NUMA1,1,0,0,0,0,0,0,0,0,0,1
FAM81A,0,0,0,0,0,0,0,0,0,0,0
AVPR1B,0,0,0,0,0,0,0,0,0,0,0
EGLN3,0,0,0,0,0,0,0,0,0,0,0
CHST12,0,0,1,0,0,0,0,1,0,0,2
CHST15,1,0,1,0,0,0,0,0,0,0,2
HAPLN1,1,0,0,0,0,0,0,0,0,0,1
FNTA,0,0,0,0,0,0,0,0,0,0,0
NEGR1,0,0,0,0,0,0,0,0,0,0,0
C12orf57,0,0,0,0,0,0,0,0,0,0,0
ZBTB26,0,0,0,0,0,0,0,0,0,0,0
EXOC7,0,0,0,0,0,0,0,0,0,0,0
KNSTRN,0,0,0,0,0,0,0,0,0,0,0
SPHKAP,1,0,0,0,0,0,0,1,0,0,2
EPHA6,1,0,0,0,0,0,0,1,0,0,2
CABYR,0,0,0,0,0,0,0,0,0,0,0
HOXB7,0,0,0,0,0,1,0,0,0,0,1
TULP1,0,0,0,0,0,0,0,0,0,0,0
ZNF440,0,0,0,0,0,0,0,0,0,0,0
TRAF7,0,0,0,0,0,0,0,0,0,0,0
TTC4,0,0,1,0,0,0,0,0,0,0,1
SLC10A1,0,0,0,0,0,0,0,0,0,0,0
PDCD6IP,0,0,0,0,0,0,0,0,0,0,0
COL28A1,1,0,1,0,1,0,0,0,0,0,3
APIP,0,0,0,0,0,0,0,0,0,0,0
SLC11A2,0,0,0,0,0,0,0,0,0,0,0
CHTF8,0,1,0,0,0,0,0,0,0,0,1
LUC7L3,0,0,0,0,0,0,0,0,0,0,0
COL8A2,0,1,0,0,0,0,0,0,0,0,1
UNC45A,0,0,0,1,0,0,0,0,0,0,1
DYNC1LI1,1,0,0,0,0,0,0,0,0,0,1
LCOR,0,0,0,0,0,0,0,0,0,0,0
PRRX1,0,0,1,0,0,0,1,0,0,0,2
MAN1A2,0,1,0,1,0,0,0,0,0,1,3
FDXACB1,0,0,0,0,0,0,0,0,0,0,0
ADCY8,1,0,0,0,1,0,0,0,1,1,4
CCDC27,1,0,0,0,1,0,0,0,0,0,2
TRAPPC12,0,0,0,0,0,0,0,0,0,0,0
GSKIP,0,0,0,0,0,0,0,0,0,0,0
TMEM80,0,0,0,0,0,0,0,0,0,0,0
GFRA2,0,0,0,0,0,0,0,0,0,0,0
NOS2,0,0,0,0,0,0,0,1,0,0,1
PPM1E,1,0,0,0,0,0,0,0,0,0,1
PARD3B,0,0,0,0,0,0,0,0,0,0,0
COL22A1,0,0,0,1,0,1,0,0,0,0,2
NFATC3,1,1,0,0,0,0,0,0,0,0,2
EDN3,0,0,0,0,0,0,0,0,0,0,0
SCG3,0,0,0,0,0,0,0,0,0,0,0
COL12A1,1,0,1,0,0,0,0,1,0,0,3
VSIG8,0,0,0,0,0,0,0,0,0,1,1
NGLY1,0,0,0,0,0,1,0,0,0,0,1
ZSCAN21,1,0,0,0,0,0,0,0,0,0,1
DYRK1A,1,0,0,0,0,0,0,1,0,0,2
OLIG2,0,0,0,0,0,0,0,0,0,0,0
CD69,0,0,0,0,0,0,0,0,0,0,0
CYP4X1,0,0,0,0,0,0,0,0,0,0,0
TM7SF3,0,0,0,0,0,0,0,0,0,0,0
MYOZ2,1,0,0,0,0,0,0,0,0,0,1
SAFB2,0,0,0,0,0,0,0,0,0,0,0
UBE2D4,0,0,0,0,0,0,0,0,0,0,0
ID2,0,0,0,0,0,0,0,0,0,0,0
FAM219A,0,0,0,0,0,0,0,0,0,0,0
RAB27A,0,0,0,0,0,0,0,0,0,0,0
RPL8,0,0,0,0,0,0,0,0,0,0,0
SPRR2G,0,0,0,0,0,0,0,0,0,0,0
HES5,0,0,0,0,0,0,0,0,0,0,0
CYLC2,0,0,0,1,0,0,0,0,0,0,1
SIGLEC6,0,0,0,0,0,0,0,0,0,0,0
WDR62,0,0,0,1,0,0,0,0,0,0,1
FPR1,0,0,0,0,0,0,0,0,0,0,0
OAS2,0,0,0,0,0,0,0,0,0,0,0
CDC42EP5,0,0,0,0,0,0,0,0,0,0,0
HES6,0,0,0,0,0,0,0,0,0,0,0
GSTP1,0,0,0,0,0,0,0,0,0,0,0
RNF219,0,0,0,0,0,0,0,0,0,0,0
PIP5K1C,0,0,0,0,0,0,0,0,1,1,2
CLEC4D,1,0,0,0,0,0,0,0,0,0,1
MIS12,0,0,0,0,0,0,0,0,0,0,0
C11orf49,0,0,0,0,1,0,0,0,0,0,1
SDSL,0,0,0,0,0,0,0,0,1,0,1
NR4A1,0,0,0,0,0,0,0,0,0,0,0
HK3,0,0,0,1,0,0,0,0,0,0,1
PUS1,0,0,0,0,0,0,0,0,0,0,0
FAM189A2,0,0,0,0,0,0,0,0,0,0,0
B4GALNT4,0,0,0,0,0,0,0,0,0,0,0
SLC17A6,0,0,0,1,0,0,0,0,0,0,1
ZNF639,0,0,0,0,1,0,0,0,0,0,1
RHOV,0,0,0,0,0,0,0,0,0,0,0
MYEF2,1,0,0,0,0,0,0,0,0,0,1
MGAT1,0,1,0,0,1,0,0,0,0,0,2
DNAH9,1,0,1,0,0,1,0,0,1,0,4
TC2N,0,0,1,0,0,1,0,0,0,0,2
ZC3H18,0,0,0,0,1,0,0,0,0,0,1
C10orf62,0,0,0,0,0,0,0,0,0,0,0
AP1G1,0,0,0,0,0,0,0,0,0,0,0
RRAS,0,0,0,0,0,0,0,0,0,0,0
C18orf32,0,0,0,0,0,0,0,0,0,0,0
EHMT2,0,1,1,0,0,1,1,0,0,0,4
FSCN2,0,0,0,0,0,0,0,1,0,0,1
STEAP4,0,0,0,1,0,0,0,0,0,0,1
GUSB,0,0,0,0,0,0,0,0,0,0,0
TAF15,0,0,0,0,0,0,0,0,0,0,0
HNRNPA1L2,0,0,0,0,0,0,0,0,0,0,0
PIK3CG,0,0,0,0,0,0,0,0,0,0,0
TMEM86A,0,0,0,0,0,0,0,0,0,0,0
GJB6,0,0,0,0,0,0,0,0,0,0,0
RIN3,1,0,0,0,0,0,0,0,0,0,1
DHRS2,0,0,1,0,0,0,0,0,0,0,1
GLB1L,0,0,0,0,0,0,0,0,0,0,0
ASF1A,0,0,0,0,0,0,0,0,0,0,0
LRFN3,1,0,0,0,0,0,0,0,0,0,1
UHRF2,0,0,1,0,0,1,0,1,0,0,3
ZNF215,0,0,0,0,0,0,0,0,0,0,0
CDC14B,0,0,0,0,0,0,0,0,0,0,0
FGF2,0,0,0,0,0,0,0,0,0,0,0
SH2B1,0,1,0,0,1,0,0,0,0,0,2
OR5B2,0,0,0,0,0,0,0,0,0,0,0
PGM2L1,0,0,0,0,0,0,0,0,0,0,0
ACRBP,0,0,0,0,0,0,0,0,0,0,0
PTPN11,0,0,0,0,0,0,0,0,0,0,0
RDM1,0,0,0,0,0,0,1,0,0,0,1
PHKG1,1,0,0,0,0,0,0,0,0,0,1
LCMT1,0,0,0,0,0,1,0,0,0,0,1
SLC1A2,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH9,0,0,1,0,0,0,0,0,0,0,1
SEMA6D,1,0,0,0,0,0,0,0,0,0,1
MUCL1,1,0,0,0,0,0,0,0,0,0,1
CDH26,0,0,0,0,0,0,1,0,0,0,1
ITPKA,0,0,0,0,0,0,0,0,0,0,0
CCDC110,0,0,0,0,0,0,0,0,0,0,0
SPINK6,0,0,0,0,0,0,0,0,0,0,0
BAK1,0,0,0,0,0,0,0,0,0,0,0
