Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,COUNT
APOBEC3H,0,0,0,0,0,0,0,0,0,0,0
PLEKHF2,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL1,0,0,0,0,0,0,0,0,0,0,0
SFT2D2,0,0,0,0,0,0,0,0,0,0,0
GGT1,0,0,0,0,0,0,0,0,0,0,0
MGLL,0,0,0,0,0,0,0,0,0,0,0
MGAM,0,0,0,1,0,0,0,0,1,0,2
PKMYT1,0,0,0,0,0,0,0,0,0,0,0
PRDX2,0,0,0,0,0,0,0,0,0,0,0
KCNIP3,0,0,0,0,0,0,0,0,0,0,0
TMBIM4,0,0,0,0,0,0,0,0,0,0,0
FRZB,0,0,0,0,0,0,0,0,0,0,0
LDHB,0,0,0,0,0,0,0,0,0,0,0
CDH24,0,0,0,0,0,0,0,0,0,0,0
ZNF467,0,0,0,0,0,0,0,0,0,0,0
GINS1,0,0,0,0,0,0,0,0,0,0,0
ZNF606,0,0,0,0,0,0,0,0,0,0,0
ZNF532,0,0,0,0,0,0,0,0,0,0,0
CCDC149,0,0,0,0,0,0,0,0,0,0,0
CPAMD8,0,0,0,0,0,0,0,0,0,0,0
CMTM5,0,0,0,0,0,0,0,0,0,0,0
TRAF3,0,0,0,0,0,0,0,0,0,0,0
ZW10,0,1,0,0,0,0,0,0,0,0,1
GBA2,0,0,0,0,0,0,0,0,0,0,0
LIN37,0,0,0,0,0,0,0,0,0,0,0
GDF11,0,0,0,0,0,0,0,0,0,0,0
B4GALT3,0,0,0,0,0,0,0,0,0,0,0
TSPYL5,0,0,0,0,0,0,0,0,0,0,0
THEM4,0,0,0,0,0,0,0,0,0,0,0
ZNF829,0,0,0,0,0,0,0,0,0,0,0
TCN2,0,0,0,0,0,0,0,0,0,0,0
HYDIN,1,0,0,0,0,0,0,0,0,0,1
ART3,0,0,0,0,0,0,0,0,0,0,0
SLITRK5,1,0,0,0,0,0,0,0,0,0,1
ATP1B2,0,0,0,0,0,0,0,0,0,0,0
BAIAP2,0,0,0,0,0,0,0,0,0,0,0
AICDA,0,0,0,0,0,0,0,0,0,0,0
YWHAG,0,0,0,0,0,0,0,0,0,0,0
P2RY11,0,0,0,0,0,0,0,0,0,0,0
MFSD10,0,0,0,0,0,0,0,0,0,0,0
TBX10,0,0,0,0,0,0,0,0,0,0,0
ZNF114,0,0,0,0,0,0,0,0,0,0,0
SYNE3,0,1,0,0,0,0,0,0,0,0,1
NPNT,1,0,0,0,0,0,0,0,0,0,1
RAPGEF1,0,0,0,1,0,0,0,0,0,0,1
ACADM,0,0,0,0,0,0,0,0,0,0,0
GRID2,1,0,0,0,0,0,0,0,0,0,1
C21orf58,1,0,0,0,0,0,0,0,0,0,1
USP43,0,0,0,0,0,0,0,0,0,0,0
DAB1,0,0,0,0,0,0,0,0,0,0,0
F5,1,0,0,0,0,0,0,0,0,0,1
EIF2AK2,0,0,0,0,0,0,0,0,0,0,0
SLC16A3,0,0,0,0,0,0,0,0,0,0,0
FAF2,0,0,0,0,0,0,0,0,0,0,0
COL11A2,0,0,0,0,0,0,0,0,0,0,0
CA1,0,0,0,0,0,0,0,0,0,0,0
SLC38A2,0,1,0,0,0,0,0,0,0,0,1
DDX47,0,0,0,0,0,0,0,0,0,0,0
SLC7A6,0,0,0,0,0,0,0,0,0,0,0
EID1,0,0,0,0,0,0,0,0,0,0,0
SPAG11B,0,0,0,0,0,0,0,0,0,0,0
PRAP1,0,0,0,0,0,0,0,0,0,0,0
SERPINA9,0,0,0,0,0,0,0,0,0,0,0
SCARA5,0,0,0,0,0,0,0,0,0,0,0
NBAS,1,0,0,0,0,0,0,0,0,1,2
CD63,0,0,0,0,0,0,0,0,0,0,0
CD2AP,0,0,0,0,0,0,0,0,0,0,0
COMMD6,0,0,0,0,0,0,0,0,0,0,0
LARP1B,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH6,0,0,0,0,0,0,0,0,0,0,0
APPBP2,0,0,0,0,0,0,0,0,0,0,0
PACSIN3,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0,0,0,0,0,0,0,0,0,0,0
KRT3,0,0,0,0,0,0,0,0,0,0,0
ARID5B,1,0,0,0,0,0,0,0,0,0,1
WBP2NL,0,0,0,0,0,0,0,0,0,0,0
NAT14,0,0,0,0,0,0,0,0,0,0,0
ABHD2,0,0,0,0,0,0,0,0,0,0,0
GAPDH,0,0,0,0,0,0,0,0,0,0,0
CCDC106,0,0,0,0,0,0,0,0,0,0,0
KDM1B,0,0,0,0,0,0,0,0,0,0,0
TRIM42,0,0,0,0,0,0,0,0,0,0,0
MUSK,0,0,0,0,0,0,0,0,0,1,1
RAD9B,0,0,0,0,0,0,0,0,0,0,0
ZNF239,0,0,0,0,0,0,0,0,0,0,0
PIP4K2B,0,0,0,0,0,0,0,0,0,0,0
PBX3,0,0,0,0,0,0,0,0,0,0,0
RGS13,1,0,0,0,0,0,0,0,0,0,1
HIST1H2BM,0,0,0,0,0,0,0,0,0,0,0
GNL1,0,0,0,0,0,0,0,0,0,0,0
RFXANK,0,0,0,0,0,0,0,0,0,0,0
CSRP1,0,0,0,0,0,0,0,0,0,0,0
CTDSPL2,0,0,0,0,0,0,0,0,0,0,0
BRF2,0,0,0,0,0,0,0,0,0,0,0
POLE3,0,0,0,0,0,0,0,0,0,0,0
LACTB2,0,0,0,0,0,0,0,0,0,0,0
SLC22A18,0,0,0,0,0,0,0,1,0,0,1
KHDRBS3,0,0,0,0,0,0,0,0,0,0,0
DBR1,0,0,0,0,0,0,0,0,0,0,0
POLI,0,0,0,0,0,0,0,0,0,0,0
PRKCQ,0,0,0,0,0,0,0,0,0,0,0
CYP46A1,0,0,0,0,0,0,0,0,0,0,0
SLC45A2,0,0,0,0,0,0,0,0,0,0,0
CDH5,0,0,0,0,0,0,0,0,0,0,0
LCE5A,0,0,0,0,0,0,0,0,0,0,0
MAGEL2,0,0,0,0,0,0,0,0,0,0,0
POLR2I,0,0,0,0,0,0,0,0,0,0,0
CYP24A1,0,0,0,0,0,0,0,0,0,0,0
PRKAB2,0,0,0,0,0,0,0,0,0,1,1
CDYL,0,0,0,0,0,0,0,0,0,0,0
FMR1,0,0,0,0,0,0,0,0,0,0,0
NLRP9,0,0,0,0,0,0,0,0,0,0,0
KPNA4,0,0,0,0,0,0,0,0,0,0,0
SUMF2,0,0,0,0,0,0,0,0,0,0,0
ZFP69B,0,0,0,0,0,0,0,0,0,0,0
ZNF708,0,0,0,1,0,0,0,0,0,0,1
ELMOD1,0,0,0,0,0,0,0,0,0,0,0
ARL17A,0,0,0,0,0,0,0,0,0,0,0
STAP1,0,0,0,0,0,0,0,0,0,0,0
DLK2,0,1,0,0,0,0,0,0,0,0,1
WDR47,1,0,0,1,0,0,0,0,0,0,2
SNCA,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BA,0,0,0,0,0,0,0,0,0,0,0
PPA2,0,0,0,0,0,0,0,0,0,0,0
ATXN2,0,0,0,0,0,0,0,0,0,0,0
CCDC66,0,0,0,0,0,0,0,0,0,0,0
HAT1,0,0,0,0,0,0,0,0,0,0,0
CLEC10A,0,0,0,0,0,0,0,0,0,0,0
GNG2,0,0,0,0,0,0,0,0,0,0,0
KATNBL1,0,0,0,0,0,0,0,0,0,0,0
GAST,0,0,0,0,0,0,0,0,0,0,0
TTLL5,0,0,0,0,0,0,0,0,0,0,0
STIM1,0,0,0,0,0,0,0,0,0,0,0
ELP6,0,0,0,0,0,0,0,0,0,0,0
OR7C1,0,0,0,0,0,0,0,0,0,0,0
MFSD12,0,0,0,0,0,0,0,0,0,0,0
RP9,0,0,0,0,0,0,0,0,0,0,0
PTPRM,0,0,0,0,0,0,0,0,0,0,0
DGCR6L,0,0,0,0,0,0,0,0,0,0,0
MED14,0,0,0,0,0,0,0,0,0,0,0
FNTA,0,0,0,0,0,0,0,0,0,0,0
PTDSS2,0,0,0,0,0,0,0,0,0,0,0
SLC4A7,0,0,0,0,0,0,0,0,0,0,0
LAMTOR4,0,0,0,0,0,0,0,0,0,0,0
CHM,0,0,0,0,0,0,0,0,0,0,0
SEC24C,0,0,0,0,0,0,0,0,0,0,0
UBE2U,0,0,0,0,0,1,0,0,0,0,1
CALCB,0,0,0,0,0,0,0,0,0,0,0
FAR2,0,0,0,0,0,0,0,0,0,0,0
MAP4,0,0,0,0,0,0,0,0,0,0,0
CPT1A,0,0,0,0,0,0,0,0,0,0,0
GPR78,0,0,0,0,0,0,0,0,0,0,0
GMFG,0,0,0,0,0,0,0,0,0,0,0
CXCL13,0,0,0,0,0,0,0,0,0,0,0
HIST2H2BF,0,0,0,0,0,0,0,0,0,0,0
SNUPN,0,0,0,0,0,0,0,0,0,0,0
SNTB1,0,0,0,0,0,0,0,0,0,0,0
RTEL1,0,0,0,0,0,0,0,0,0,0,0
BCAR3,0,0,0,0,0,0,0,0,0,0,0
AIM2,0,0,0,0,1,0,0,0,0,0,1
RBPMS2,0,0,0,0,0,0,0,0,0,0,0
MECP2,0,1,0,0,0,0,0,0,0,0,1
ZNF384,0,0,0,0,0,0,0,0,0,0,0
PSMG4,0,0,0,0,0,0,0,0,0,0,0
SEC23B,0,0,0,1,0,0,0,0,0,0,1
BCKDHB,0,0,0,0,0,0,0,0,0,0,0
SLC11A2,0,0,0,0,0,0,0,0,0,0,0
CTNNB1,0,1,0,1,0,1,0,1,0,0,4
CCDC180,0,0,0,0,0,0,0,0,0,0,0
HEG1,0,0,0,0,0,0,0,0,0,0,0
EIF3J,0,0,0,0,0,0,0,0,0,0,0
AP5M1,0,1,0,0,0,0,0,0,0,0,1
SNX30,0,0,0,0,0,0,0,0,0,0,0
HNRNPD,0,0,0,0,0,0,0,0,0,0,0
PRSS21,0,0,0,0,0,0,0,0,0,0,0
YLPM1,0,0,0,0,0,0,0,0,0,0,0
PYDC1,1,0,0,0,0,0,0,0,0,0,1
FDXACB1,0,0,0,0,0,0,0,0,0,0,0
CDV3,0,0,0,0,0,0,0,0,0,0,0
C9orf116,0,0,0,0,0,0,0,0,0,0,0
TUBB2B,0,0,0,0,0,0,0,0,0,0,0
FGFBP2,0,0,0,0,0,0,0,0,0,0,0
CSN3,1,0,0,0,0,0,0,0,0,0,1
PHLDB1,0,0,0,0,0,0,0,0,0,0,0
VARS,0,0,0,0,0,0,0,0,0,0,0
ROMO1,0,0,0,0,0,0,0,0,0,0,0
RINT1,0,0,0,0,0,0,0,0,0,0,0
POPDC3,0,0,0,0,0,0,0,0,0,0,0
GFRA2,0,0,0,0,0,0,0,0,0,0,0
SGCE,0,0,0,0,0,0,0,0,0,0,0
MCOLN2,0,0,0,0,0,0,0,0,0,0,0
SPG21,0,0,0,0,0,0,0,0,0,0,0
TRMT11,0,0,0,0,0,0,0,0,0,0,0
ERI2,0,0,0,0,0,0,0,0,0,0,0
THEM6,0,0,0,0,0,0,0,0,0,0,0
CLU,0,0,0,0,0,0,0,0,0,0,0
CLIC6,0,0,0,0,0,0,0,0,0,0,0
SIN3B,0,0,0,0,0,0,0,1,0,0,1
SLC25A12,0,0,0,0,0,0,0,0,0,0,0
TRAF3IP3,0,0,0,0,0,0,0,0,0,0,0
REXO4,0,0,0,0,0,0,0,0,0,0,0
ATP6V1C1,0,0,0,0,0,0,0,0,0,0,0
HYPK,0,0,0,0,0,0,0,0,0,0,0
VTN,0,0,0,0,0,0,0,0,0,0,0
HLTF,0,0,0,0,0,0,0,0,0,0,0
GDF2,0,1,0,0,0,0,0,0,0,0,1
SHISA9,0,0,0,0,0,0,0,0,0,0,0
KLHL42,0,0,0,0,1,0,0,0,0,0,1
GPR25,0,0,0,0,0,0,0,0,0,0,0
EYA1,0,0,0,0,1,0,0,0,0,0,1
LIN7B,0,0,0,0,0,0,0,0,0,0,0
CD33,0,0,0,0,0,0,0,0,0,0,0
CRHR1,0,0,0,0,0,1,0,0,0,0,1
TMEM245,0,0,0,0,0,0,0,0,0,0,0
UBE2B,0,0,0,0,0,0,0,0,0,0,0
CFD,0,0,0,0,0,0,0,0,0,0,0
HBG2,0,0,0,0,0,0,0,0,0,0,0
GCC2,0,0,0,0,0,0,0,0,0,0,0
TM4SF19,0,0,0,0,0,0,0,0,0,0,0
HSPA12A,0,0,0,0,0,0,0,0,0,0,0
ANKRD22,0,0,0,0,0,0,0,0,0,0,0
SRSF4,0,0,0,0,0,0,0,0,0,0,0
EN2,0,0,0,0,0,0,0,0,0,0,0
SHC1,0,0,0,0,1,0,0,0,0,0,1
WBP11,0,0,0,0,0,0,0,0,0,0,0
ZNF543,0,0,0,0,0,0,0,0,0,0,0
OPALIN,0,0,0,0,0,0,0,0,0,0,0
AGTR1,0,0,0,0,0,0,0,0,0,0,0
OCEL1,0,0,0,0,0,0,0,0,0,0,0
RAB23,0,0,0,0,0,0,0,0,0,0,0
KLHL17,0,0,0,0,0,0,0,0,0,0,0
ZNF236,0,1,0,0,0,0,0,0,0,0,1
ADH5,0,0,0,0,0,0,0,0,0,0,0
HK3,0,0,0,0,0,0,0,0,0,0,0
SNTA1,0,0,0,0,0,0,0,0,0,0,0
SLC7A6OS,0,0,0,0,0,1,0,0,0,0,1
LLGL1,0,1,0,0,0,0,0,0,0,0,1
OR51L1,0,0,0,0,0,1,0,0,0,0,1
NXT1,0,0,0,0,0,0,0,0,0,0,0
HACE1,0,0,0,0,0,0,0,0,0,0,0
PCNT,0,0,0,0,0,0,0,0,0,0,0
ARHGEF38,0,0,0,0,0,0,0,0,0,0,0
SETBP1,0,1,0,0,0,0,0,0,0,0,1
EMC3,0,0,0,0,0,0,0,0,0,0,0
EPHA1,0,0,0,0,0,0,0,0,0,0,0
ZDHHC2,0,0,0,0,0,0,0,0,0,0,0
PSME2,0,0,0,0,0,0,0,0,0,0,0
PRKD1,0,0,0,0,0,0,0,0,0,0,0
PPFIBP2,0,0,0,0,0,0,0,0,0,0,0
SEMG2,0,0,0,0,0,0,0,0,0,0,0
TMEM126B,0,0,0,0,0,0,0,0,0,0,0
SMAD7,0,0,0,0,0,0,0,0,0,0,0
CDK18,0,0,0,0,0,0,0,0,0,0,0
PSMB8,0,0,0,0,0,0,0,0,0,0,0
TMEM147,0,0,0,0,0,0,0,0,0,0,0
WDFY2,0,0,0,0,0,0,0,0,0,0,0
LRRC23,0,0,0,0,0,0,0,0,0,0,0
INSL6,0,0,0,0,0,0,0,0,0,0,0
PNLIPRP1,0,0,0,0,0,0,0,0,0,0,0
MT1E,0,0,0,0,0,0,0,0,0,0,0
REEP2,0,0,0,0,0,0,0,0,0,0,0
HSD11B2,0,0,0,0,0,0,0,0,0,0,0
CLTC,0,0,0,0,0,0,0,0,0,0,0
SAPCD2,0,0,0,0,0,0,0,0,0,0,0
TBC1D8,0,0,0,0,0,0,0,0,1,0,1
DHX36,0,0,0,0,0,0,0,0,0,0,0
NDUFB8,0,0,0,0,0,0,0,0,0,0,0
MSI2,0,0,0,0,0,0,0,0,0,0,0
RLBP1,0,0,0,0,0,0,0,0,0,0,0
CEBPD,0,0,0,0,0,0,0,0,0,0,0
SPAG1,0,0,0,0,0,0,0,0,1,0,1
CD300LF,0,0,0,0,0,0,0,0,1,0,1
PABPC3,0,0,0,0,0,0,0,0,0,0,0
SLC25A4,0,0,0,0,0,0,0,0,0,0,0
CYB561D2,0,0,0,0,0,0,0,0,0,0,0
FZD9,0,0,0,0,0,0,0,0,0,0,0
PHLDB3,0,0,0,0,0,0,0,0,0,0,0
AXIN1,0,0,0,0,0,0,0,0,0,0,0
CBWD5,0,0,0,0,0,0,0,0,0,0,0
SAR1B,0,0,0,0,0,0,0,0,0,0,0
SPAG5,0,0,0,0,0,0,0,0,0,0,0
STRN4,0,0,0,0,0,0,0,0,0,0,0
IER3,0,0,0,0,0,0,0,0,0,0,0
ARRDC1,0,0,0,0,0,0,0,0,0,0,0
TRIM65,0,0,0,0,0,0,0,0,0,0,0
LEFTY1,0,0,0,0,0,0,0,0,0,0,0
ALDH7A1,0,0,0,0,0,0,0,0,1,0,1
IGFBP3,0,0,0,0,0,0,0,0,0,0,0
WNT2,0,0,0,0,0,0,0,0,0,0,0
HOXB9,0,0,0,0,0,0,0,0,0,0,0
HGFAC,1,0,0,0,0,0,0,0,1,0,2
BHLHE40,0,0,0,0,0,0,0,0,0,0,0
FAM76A,0,0,0,0,0,0,0,0,0,0,0
DHDH,0,0,0,0,0,0,0,0,0,0,0
CYP8B1,0,0,0,0,0,0,0,0,0,0,0
