Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,COUNT
PLSCR3,0,0,0,0,0,0,0,0,0,0,0
ZNF404,0,0,0,0,0,0,0,0,0,0,0
SYNGR3,0,0,0,0,0,0,0,0,0,0,0
TSPYL1,0,0,0,0,0,0,0,0,0,0,0
ARHGAP29,0,0,0,0,0,0,0,0,0,0,0
FCHSD2,0,0,0,0,0,0,0,0,0,0,0
TRIM48,0,0,0,0,0,0,0,0,0,0,0
HCFC1R1,0,0,0,0,0,0,0,0,0,0,0
ECE2,0,0,0,0,0,0,0,0,0,0,0
RPL10L,0,0,0,0,0,0,0,0,0,0,0
SERTAD1,0,0,0,0,0,0,0,0,0,0,0
TMEM212,0,0,0,0,0,0,0,0,0,0,0
CLEC3A,0,0,0,0,0,0,0,0,0,0,0
USH1C,0,0,0,0,0,0,0,0,0,0,0
CYP2S1,0,0,0,0,0,0,0,0,0,0,0
DHX9,0,0,0,0,0,0,0,0,0,0,0
PODN,0,0,0,0,0,0,0,0,0,0,0
CD4,0,0,0,0,0,0,0,0,0,0,0
RBM25,0,0,0,0,0,0,0,0,0,0,0
ADAL,0,0,0,0,0,0,0,0,0,0,0
BLVRB,0,0,0,0,0,0,0,0,0,0,0
SPATA5,0,0,0,0,0,0,0,0,0,0,0
SPATS2L,0,0,0,0,0,0,0,0,0,0,0
USP18,0,0,0,0,0,0,0,0,0,0,0
COMMD4,0,0,0,1,0,0,0,0,0,0,1
TIMELESS,0,0,0,0,0,0,0,0,0,0,0
PKDCC,0,0,0,0,0,0,0,0,0,0,0
PRPS1L1,0,0,0,0,0,0,0,0,0,0,0
WFDC12,0,0,0,0,0,0,0,0,0,0,0
GRID1,0,0,0,0,0,0,0,0,0,0,0
MAP3K11,0,0,0,0,0,0,0,0,0,0,0
TRMT1L,0,0,0,0,0,0,0,0,0,0,0
C6orf136,0,0,0,0,0,0,0,0,0,0,0
LRRC70,0,0,0,0,0,0,0,0,0,0,0
NDUFA6,0,0,0,0,0,0,0,0,0,0,0
LARP1B,0,0,0,0,0,0,0,0,0,0,0
ANKEF1,0,0,0,0,0,0,0,0,0,0,0
CIITA,0,0,0,0,0,0,0,0,0,0,0
FBXW2,0,0,0,0,0,0,0,0,0,0,0
SLC6A1,0,0,0,0,0,0,0,0,0,0,0
MAP1LC3C,0,0,0,0,0,0,0,0,0,0,0
SF3B4,0,0,0,0,0,0,0,0,0,0,0
JOSD2,0,0,0,0,0,0,0,0,0,0,0
C8orf44,0,0,0,0,0,0,0,0,0,0,0
CACNA1S,0,0,0,0,0,0,0,0,0,0,0
KIF13B,0,0,0,0,0,0,0,0,0,0,0
GPR3,0,0,0,0,0,0,0,0,0,0,0
KDM1B,0,0,0,0,0,0,0,0,0,0,0
BTC,0,0,0,0,0,0,0,0,0,0,0
ZNF283,0,0,0,0,0,0,0,0,0,0,0
RABL2A,0,0,0,0,0,0,0,0,0,0,0
ENOPH1,0,0,0,0,0,0,0,0,0,0,0
ABHD5,0,0,0,0,0,0,0,0,0,0,0
PCDHGA7,0,0,0,0,0,0,0,0,0,0,0
ATP13A2,0,0,0,0,0,0,0,0,0,0,0
ZKSCAN7,0,0,0,0,0,0,0,0,0,0,0
MRPL28,0,0,0,0,0,0,0,0,0,0,0
BPHL,0,0,0,0,0,0,0,0,0,0,0
EHD1,0,0,0,0,0,0,0,0,0,0,0
SCAF4,0,0,0,0,0,0,0,0,0,0,0
TMPRSS7,0,0,0,0,0,0,0,0,0,0,0
GOLGA7B,0,0,0,0,0,0,0,0,0,0,0
ZNF624,0,0,0,0,0,0,0,0,0,0,0
OAZ2,0,0,0,0,0,0,0,0,0,0,0
DEGS1,0,0,0,0,0,0,0,0,0,0,0
BARX2,0,0,0,0,0,0,0,0,0,0,0
IL20RB,0,0,0,0,0,0,0,0,0,0,0
SLC38A1,0,0,0,0,0,0,0,0,0,0,0
DYNLRB2,0,0,0,0,0,0,0,0,0,0,0
PLEKHH3,0,0,0,0,0,0,0,0,0,0,0
ACAD11,0,0,0,0,0,0,0,0,0,0,0
RSPO1,0,0,0,0,0,0,0,0,0,0,0
RPL19,0,0,0,0,0,0,0,0,0,0,0
HNMT,0,0,0,0,0,0,0,0,0,0,0
ARL6IP1,0,0,0,0,0,0,0,0,0,0,0
LCE5A,0,0,0,0,0,0,0,0,0,0,0
UCKL1,0,0,0,0,0,0,0,0,0,0,0
SUPT7L,0,0,0,0,0,0,0,0,0,0,0
STEAP2,0,0,0,0,0,0,0,0,0,0,0
WDR48,0,0,0,0,0,0,0,0,0,0,0
DDX11,0,0,0,0,0,0,0,0,0,0,0
BMF,0,0,0,0,0,0,0,0,0,0,0
BRIP1,0,0,0,0,0,0,0,0,0,0,0
DLK2,0,0,0,0,0,0,0,0,0,0,0
IQUB,0,0,0,0,0,0,0,0,0,0,0
SNX8,0,0,0,0,0,0,0,0,0,0,0
CXCL5,0,0,0,0,0,0,0,0,0,0,0
ATXN1L,0,0,0,0,0,0,0,0,0,0,0
ZBTB7C,0,0,0,0,0,0,0,0,0,0,0
CD55,0,0,0,0,0,0,0,0,0,0,0
AKAP13,0,0,0,0,0,0,0,0,0,0,0
MCM9,0,0,0,0,0,0,0,0,0,0,0
ZNF644,0,0,0,0,0,0,0,0,0,0,0
METTL21C,0,0,0,0,0,0,0,0,0,0,0
LARP1,0,0,0,0,0,0,0,0,0,0,0
HSD17B2,0,0,0,0,0,0,0,0,0,0,0
CLEC2D,0,0,0,0,0,0,0,0,0,0,0
CHEK1,0,0,0,0,0,0,0,0,0,0,0
TCF19,0,0,0,0,0,0,0,0,0,0,0
MUC5B,0,0,0,0,0,0,0,0,0,0,0
CAV3,0,0,0,0,0,0,0,0,0,0,0
FOXL1,0,0,0,0,0,0,0,0,0,0,0
SYNE4,0,0,0,0,0,0,0,0,0,0,0
TMEM214,0,0,0,0,0,0,0,0,0,0,0
SLC16A6,0,0,0,0,0,0,0,0,0,0,0
CNTF,0,0,0,0,0,0,0,0,0,0,0
MAPK1,0,0,0,0,0,0,0,0,0,0,0
SLC35G2,0,0,0,0,0,0,0,0,0,0,0
MAP2K6,0,0,0,0,0,0,0,0,0,0,0
DCAF15,0,0,0,0,0,0,0,0,0,0,0
ACSL3,0,0,0,0,0,0,0,0,0,0,0
DIO2,0,0,0,0,0,0,0,0,0,0,0
HPCAL1,0,0,0,0,0,0,0,0,0,0,0
BTN3A3,0,0,0,0,0,0,0,0,0,0,0
GCFC2,0,0,0,0,0,0,0,0,0,0,0
FZD7,0,0,0,0,0,0,0,0,0,0,0
NLRC5,0,0,0,0,0,0,0,0,0,0,0
RNASEH1,0,0,0,0,0,0,0,0,0,0,0
RAI14,0,0,0,0,0,0,0,0,0,0,0
TIGD5,0,0,0,0,0,0,0,0,0,0,0
ETV4,0,0,0,0,0,0,0,0,0,0,0
CCDC140,0,0,0,0,0,0,0,0,0,0,0
COX5B,0,0,0,0,0,0,0,0,0,0,0
ENGASE,0,0,0,0,0,0,0,0,0,0,0
PDCD2L,0,0,0,0,0,0,0,0,0,0,0
MRPL16,0,0,0,0,0,0,0,0,0,0,0
PIP4K2C,0,0,0,0,0,0,0,0,0,0,0
KIF18A,0,0,0,0,0,0,0,0,0,0,0
IQCE,0,0,0,0,0,0,0,0,0,0,0
CTSE,0,0,0,0,0,0,0,0,0,0,0
ACMSD,0,0,0,0,0,0,0,0,0,0,0
PPT2,0,0,0,0,0,0,0,0,0,0,0
GYS1,0,0,0,0,0,0,0,0,0,0,0
EXOC3L2,0,0,0,0,0,0,0,0,0,0,0
KRT31,0,0,0,0,0,0,0,0,0,0,0
AURKB,0,0,0,0,0,1,0,0,0,0,1
MOB1A,0,0,0,0,0,0,0,0,0,0,0
TMEM186,0,0,0,0,0,0,0,0,0,0,0
UMOD,0,0,0,0,0,0,0,0,0,0,0
ULBP1,0,0,0,0,0,0,0,0,0,0,0
THBS2,0,0,0,0,0,0,0,0,0,0,0
CA3,0,0,0,0,0,0,0,0,0,0,0
EPS15,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0
LIN7B,0,0,0,0,0,0,0,0,0,0,0
WDFY4,0,0,0,0,0,0,0,0,0,0,0
CHDH,0,0,0,0,0,0,0,0,0,0,0
CHERP,0,0,0,0,0,0,0,0,0,0,0
ZNF287,0,0,0,0,0,0,0,0,0,0,0
FANCA,0,0,0,0,0,0,0,0,0,0,0
C22orf46,0,0,0,0,0,0,0,0,0,0,0
ARFRP1,0,0,0,0,0,0,0,0,0,0,0
BIRC5,0,0,0,0,0,0,0,0,0,0,0
STAM2,0,0,0,0,0,0,0,0,0,0,0
COL23A1,0,0,0,0,0,0,0,0,0,0,0
EIF4E2,0,0,0,0,0,0,0,0,0,0,0
SDSL,0,0,0,0,0,0,0,0,0,0,0
NCAPH2,0,0,0,0,0,0,0,0,0,0,0
RRP15,0,0,0,0,0,0,0,0,0,0,0
BEND3,0,0,0,0,0,0,0,0,0,0,0
RBM14,0,0,0,0,0,0,0,0,0,0,0
SDCCAG8,0,0,0,0,0,0,0,0,0,0,0
FARSA,0,0,0,0,0,0,0,0,0,0,0
FBXO46,0,0,0,0,0,0,0,0,0,0,0
FNDC3A,0,0,0,0,0,0,0,0,0,0,0
CNOT4,0,0,0,0,0,0,0,0,0,0,0
CERS3,0,0,0,0,0,0,0,0,0,0,0
ANKRD12,0,0,0,0,0,0,0,0,0,0,0
NAALAD2,0,0,0,0,0,0,0,0,0,0,0
CAPN3,0,0,0,0,0,0,0,0,0,0,0
BYSL,0,0,0,0,0,0,0,0,0,0,0
GZF1,0,0,0,0,0,0,0,0,0,0,0
CCDC126,0,0,0,0,0,0,0,0,0,0,0
QPCTL,0,0,0,0,0,0,0,0,0,0,0
EMCN,0,0,0,0,0,0,0,0,0,0,0
KISS1R,0,0,0,0,0,0,0,0,0,0,0
EXOSC3,0,0,0,0,0,0,0,0,0,0,0
PPM1L,0,0,0,0,0,0,0,0,0,0,0
ZNF524,0,0,0,0,0,0,0,0,0,0,0
MAP1A,0,0,0,0,0,0,0,0,0,0,0
MGAT1,0,0,0,0,0,0,0,0,0,0,0
HTATIP2,0,0,0,0,0,0,0,0,0,0,0
ZNF607,0,0,0,0,0,0,0,0,0,0,0
EIF2B2,0,0,0,0,0,0,0,0,0,0,0
KLF12,0,0,0,0,0,0,0,0,0,0,0
SALL2,0,0,0,0,0,0,0,0,0,0,0
FASTKD2,0,0,0,0,0,0,0,0,0,0,0
GPATCH8,0,0,0,0,0,0,0,0,0,0,0
PDGFRB,0,0,0,0,0,0,0,0,0,0,0
PCSK5,0,0,0,0,0,0,0,0,0,0,0
MAGEA12,0,0,0,0,0,0,0,0,0,0,0
ST6GALNAC3,0,0,0,0,0,0,0,0,0,0,0
CDH9,0,0,0,0,0,0,0,0,0,0,0
NGEF,0,0,0,0,0,0,0,0,0,0,0
DNAJC1,0,0,0,0,0,0,0,0,0,0,0
CERS4,0,0,0,0,0,0,0,0,0,0,0
MRI1,0,0,0,0,0,0,0,0,0,0,0
MAU2,0,0,0,0,0,0,0,0,0,0,0
SLC24A1,0,0,0,0,0,0,0,0,0,0,0
GIPC3,0,0,0,0,0,0,0,0,0,0,0
POFUT1,0,0,0,0,0,0,0,0,0,0,0
EHMT2,0,0,0,0,0,0,0,0,0,0,0
CLTC,0,0,0,0,0,0,0,0,0,0,0
RXFP1,0,0,0,0,0,0,0,0,0,0,0
ZNF551,0,0,0,0,0,0,0,0,0,0,0
GAMT,0,0,0,0,0,0,0,0,0,0,0
PLAC8,0,0,0,0,0,0,0,0,0,0,0
ZNF773,0,0,0,0,0,0,0,0,0,0,0
RNF4,0,0,0,0,0,0,0,0,0,0,0
HDAC7,0,0,0,0,0,0,0,0,0,0,0
ELOVL3,0,0,0,0,0,0,0,0,0,0,0
DIS3L2,0,0,0,0,0,0,0,0,0,0,0
NDUFA5,0,0,0,0,0,0,0,0,0,0,0
NME3,0,0,0,0,0,0,0,0,0,0,0
PCDHB8,0,0,0,0,0,0,0,0,0,0,0
