Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,COUNT
CD3D,0,0,0,0,0,0,0,0,0,0,0
LYL1,0,0,0,0,0,0,0,0,0,0,0
NCOA2,0,0,0,0,0,0,0,0,0,0,0
TUBB6,0,0,0,0,0,0,0,0,0,0,0
JAK1,0,0,0,0,0,0,0,0,0,0,0
GATA2,1,0,0,0,0,0,0,0,0,0,1
TRIP11,1,0,0,0,0,0,0,0,0,0,1
FBXW7,0,0,0,0,0,0,0,0,0,0,0
HOXA9,0,0,0,0,0,0,0,0,0,0,0
CARS,0,0,0,0,0,0,0,0,0,0,0
CSF1R,0,0,0,0,0,0,0,0,0,0,0
NSD1,0,0,1,0,0,0,0,0,0,0,1
SIK1,0,0,0,0,0,0,0,0,0,0,0
SLK,0,0,0,0,0,0,0,0,0,0,0
ASXL1,0,0,0,0,0,1,1,0,0,0,2
PRDM16,0,0,0,0,0,0,0,0,0,0,0
RPL5,0,0,0,0,0,0,0,0,0,0,0
TOP1,0,0,0,0,0,0,0,1,0,0,1
CUX1,0,0,0,0,0,0,0,0,0,0,0
ABL1,0,0,0,0,0,0,0,0,0,0,0
CLTCL1,0,0,1,0,0,0,0,0,0,0,1
NRAS,0,1,0,0,0,0,0,0,0,0,1
CCND2,0,0,0,0,0,0,0,0,0,0,0
MYH11,0,0,0,1,0,0,1,0,0,0,2
DNMT3A,0,0,0,0,0,0,0,0,0,0,0
DNM2,0,0,0,0,0,0,0,0,0,0,0
CD22,0,0,0,1,0,0,0,0,0,0,1
CBLB,0,0,0,0,0,0,0,0,0,0,0
CHIC2,0,0,0,0,0,0,0,0,0,0,0
FOXO3,0,0,0,0,0,0,0,0,0,0,0
IL7R,0,0,0,0,0,0,0,0,0,0,0
MCL1,0,0,0,0,0,0,0,0,0,0,0
STK4,0,0,0,0,0,0,0,0,0,0,0
SETBP1,0,0,0,0,0,0,0,0,0,0,0
ATM,1,0,0,0,1,0,0,0,0,0,2
NCKIPSD,0,0,0,0,0,0,0,0,0,0,0
ZNF521,0,0,0,0,0,0,0,0,0,0,0
CD3E,0,0,0,0,0,0,0,0,0,0,0
MLF1,0,0,0,0,0,0,0,0,0,0,0
AFF3,0,0,0,0,0,0,0,0,0,0,0
RARA,0,0,0,0,0,0,0,0,0,0,0
MYC,0,0,0,0,0,1,0,0,0,0,1
TET1,1,0,0,1,0,0,0,0,0,0,2
RAP1GDS1,0,0,0,0,0,0,0,0,0,0,0
ABL2,0,0,0,0,1,0,0,0,0,0,1
SIK3,0,0,0,0,0,0,0,0,0,0,0
LMO2,0,0,0,0,0,0,0,0,0,0,0
CCDC6,0,0,0,0,0,0,0,0,0,0,0
FUS,0,0,0,0,0,0,0,0,0,0,0
BIRC3,0,0,0,0,0,0,0,0,0,0,0
GMPS,0,0,0,0,0,0,0,0,0,0,0
PTPRC,0,0,0,0,0,0,0,0,0,0,0
LPAR3,0,0,0,0,0,0,0,0,0,0,0
FNBP1,0,0,0,0,0,0,0,0,0,0,0
FCGR2B,0,0,0,0,0,0,0,0,0,0,0
PDGFRB,0,0,0,0,0,0,0,0,0,0,0
CDX2,0,0,0,0,0,0,0,0,0,0,0
U2AF1,0,0,0,0,0,0,0,0,0,0,0
PER1,0,0,0,0,0,0,0,0,0,0,0
NR3C1,0,0,0,0,0,0,0,0,0,0,0
RNF213,1,0,0,0,0,0,0,0,0,0,1
CDK6,0,0,0,0,0,0,0,0,0,0,0
STIL,0,1,0,0,0,0,0,0,0,0,1
PIK3CD,0,0,0,0,0,0,0,0,0,0,0
ELN,0,0,0,0,0,0,0,0,0,0,0
DEK,0,0,0,0,0,0,0,0,0,0,0
RRM2B,0,0,0,0,0,1,0,0,0,0,1
ITK,0,0,0,0,0,0,0,0,0,0,0
CAMK2G,0,1,0,0,0,0,0,0,0,0,1
NFKBIE,0,0,0,0,0,0,0,0,0,0,0
HIP1,0,0,0,0,0,0,1,0,0,0,1
STAG1,1,0,1,0,0,0,0,0,0,0,2
MLLT11,0,0,0,0,0,0,0,0,0,0,0
RRM2,0,0,0,0,0,0,0,0,0,0,0
BCL3,0,0,0,0,0,0,0,0,0,0,0
RPL3,0,0,0,0,0,0,0,0,0,0,0
FRK,0,0,0,0,0,0,0,0,0,0,0
SH2B3,0,0,0,0,0,0,0,0,0,0,0
LPAR2,0,0,1,0,0,0,0,0,0,0,1
NUMA1,0,0,0,1,0,0,0,0,0,0,1
PDGFRA,1,0,0,0,0,0,0,0,0,0,1
PBX1,0,0,0,0,0,0,0,0,0,0,0
TUBB1,0,1,0,0,0,0,0,0,0,0,1
CSF3R,0,0,1,0,0,0,1,0,0,0,2
ATIC,0,0,0,0,0,0,0,0,0,0,0
KDM5A,0,0,0,0,0,0,0,0,0,0,0
RUNX1T1,0,0,1,0,0,0,0,0,0,0,1
YES1,0,0,0,0,0,0,0,0,0,0,0
MALT1,0,0,0,0,0,0,0,0,0,0,0
MLLT3,0,0,0,0,0,0,0,0,0,0,0
SRC,0,0,0,0,0,0,0,0,0,0,0
MSI2,0,0,0,0,0,0,0,0,0,0,0
AFF1,1,0,0,0,1,1,0,0,0,0,3
AVPR1B,0,0,0,0,0,0,0,0,0,0,0
TAF15,0,1,0,0,0,0,0,0,0,0,1
JAK2,0,1,0,0,0,0,0,0,0,0,1
RPL22,0,0,0,0,0,0,0,0,0,0,0
CBFB,0,0,0,1,0,0,0,0,0,0,1
PIK3CG,1,0,0,0,0,0,0,0,0,0,1
TOP2A,0,0,1,0,0,0,0,0,0,0,1
BCL6,0,0,0,0,0,0,0,0,0,0,0
HCK,0,1,0,0,0,1,0,0,0,0,2
AVPR1A,0,0,0,0,0,0,0,0,0,0,0
RABEP1,0,0,0,0,0,0,0,0,0,0,0
LYN,0,0,0,0,0,0,0,0,0,0,0
CHD2,0,0,0,0,0,0,0,0,0,0,0
DDX10,0,1,1,0,0,0,0,0,0,0,2
LASP1,0,0,0,0,0,0,0,0,0,0,0
FGR,0,0,0,0,0,0,0,0,0,0,0
GPHN,0,0,0,0,0,0,1,0,0,0,1
PSIP1,0,0,0,0,0,0,0,0,0,0,0
FOXP1,0,0,0,0,0,0,0,0,0,0,0
ARHGAP26,0,1,0,0,0,0,0,0,0,0,1
MAP3K2,0,0,0,0,0,0,0,0,0,0,0
AFF4,0,0,0,0,0,0,0,0,0,0,0
ABI1,0,0,0,0,0,0,0,0,0,0,0
MAPK1,0,0,0,0,0,0,0,0,0,0,0
MECOM,0,0,0,1,0,0,0,0,0,0,1
CD19,0,0,0,0,0,0,0,0,0,0,0
POLD1,0,0,0,0,0,0,0,0,0,0,0
PCM1,0,1,0,0,0,0,0,0,0,0,1
PTPN11,0,0,0,0,0,0,0,0,0,0,0
TUBB2A,0,0,0,0,0,0,0,0,0,0,0
MLLT10,0,0,0,0,0,0,0,0,0,0,0
TFG,0,0,0,0,0,0,0,0,0,0,0
RPN1,0,0,0,0,0,0,0,0,0,0,0
POT1,0,0,0,0,0,0,0,0,0,0,0
TUBB,0,0,0,0,0,0,0,0,0,0,0
FAT1,1,1,1,0,0,0,0,0,0,0,3
IMPDH1,0,0,0,0,0,0,0,0,0,0,0
POLE,0,0,0,0,1,0,0,0,0,0,1
TNK2,0,0,0,0,0,0,0,0,0,0,0
NPM1,0,0,1,0,0,0,0,0,0,0,1
MLLT1,0,0,0,0,0,0,0,0,0,0,0
TEC,0,1,0,0,0,0,0,0,0,0,1
RUNX1,1,0,0,0,0,0,1,1,0,0,3
CLP1,0,0,0,0,0,0,0,0,0,0,0
BCL11B,0,0,0,0,0,0,0,0,0,0,0
LEF1,0,0,0,0,0,0,0,0,0,0,0
BCL2,0,0,0,0,0,0,0,0,0,0,0
HOXA13,0,0,0,0,0,0,0,0,0,0,0
CEBPA,0,0,0,0,0,0,0,0,0,0,0
TXK,0,0,0,0,0,0,0,0,0,0,0
JAK3,0,0,0,0,0,0,0,0,0,0,0
MAP2K2,0,0,0,0,0,0,0,0,0,0,0
ZNF384,0,0,0,0,0,0,0,0,0,0,0
RAD21,1,0,0,0,0,0,0,0,0,0,1
TFPT,0,0,0,0,0,0,0,0,0,0,0
NOTCH1,0,0,0,0,0,0,0,0,0,0,0
BCL9,0,1,1,0,0,0,0,0,0,0,2
TUBA1B,0,0,0,0,0,0,0,0,0,0,0
TCF3,0,0,0,0,0,0,0,0,0,0,0
NUP214,0,0,1,1,1,0,0,0,0,0,3
DDR1,0,0,0,0,0,0,0,0,0,0,0
CREBBP,0,1,0,0,0,1,0,0,0,0,2
FYN,0,0,0,0,0,0,0,0,0,0,0
PRRX1,0,0,0,0,0,0,0,0,0,0,0
IMMT,0,1,0,0,0,0,0,0,0,0,1
RAB24,0,0,0,0,0,0,1,0,0,0,1
SQSTM1,0,0,0,0,0,0,0,0,0,0,0
AIRE,0,0,0,0,0,0,0,0,0,0,0
HAVCR1,0,0,0,0,0,0,0,0,0,0,0
9-Mar,0,0,0,0,0,0,0,0,0,0,0
CCDC127,0,0,1,0,0,0,0,0,0,0,1
SNX24,1,0,0,0,0,0,0,0,0,0,1
EME2,0,0,0,0,0,0,0,0,0,0,0
MYL12B,0,0,0,0,0,0,0,0,0,0,0
SLC16A4,0,0,0,1,0,0,0,0,0,0,1
PARP12,0,0,0,0,0,0,1,0,0,0,1
MEN1,0,0,0,0,0,0,0,0,0,0,0
CREB1,0,0,0,0,0,0,0,0,0,0,0
DNAL4,0,0,0,0,0,0,0,0,0,0,0
PDK4,0,0,0,0,0,0,0,0,0,0,0
PDE7B,0,1,0,0,0,0,0,0,0,0,1
ZBTB42,0,0,0,0,0,0,0,0,0,0,0
RNF112,0,0,0,0,0,0,0,0,0,0,0
KPNA1,0,0,0,0,0,0,0,0,0,0,0
LAMTOR2,0,0,0,0,0,0,0,0,0,0,0
PLEKHB2,0,0,0,0,0,0,0,0,0,0,0
CTC1,0,1,0,0,0,0,0,0,0,0,1
PCDHB7,0,0,1,0,0,0,0,0,0,0,1
TMEM37,0,0,0,0,0,0,0,0,0,0,0
MED7,0,0,0,0,0,0,0,0,0,0,0
RABAC1,0,0,0,0,0,0,0,0,0,0,0
GDPD3,0,0,0,0,0,0,0,0,0,0,0
KCNS3,0,0,0,0,0,0,0,0,0,0,0
RPN2,0,0,1,0,0,0,0,0,0,0,1
FBXO25,0,0,0,0,0,0,0,0,0,0,0
NDUFA12,0,0,0,0,0,0,0,0,0,0,0
CASP9,0,0,0,0,0,0,0,0,0,0,0
AMDHD1,0,0,0,0,0,0,0,0,0,0,0
TBC1D1,0,0,0,0,0,0,0,0,0,0,0
RBM42,0,0,1,0,0,0,0,0,0,0,1
BAX,0,0,1,0,0,0,0,0,0,0,1
IL1RAP,0,0,0,0,0,0,0,0,0,0,0
TMEM65,0,0,0,0,0,0,0,0,0,0,0
DBNL,0,0,1,0,1,0,0,0,0,0,2
USB1,0,0,0,0,0,0,0,0,0,0,0
PTPN18,0,0,0,0,0,0,0,0,0,0,0
GTF2F2,0,0,0,0,0,0,0,0,0,0,0
BIN2,0,0,0,0,1,0,0,0,0,0,1
LIMS2,0,0,0,0,0,0,0,0,0,0,0
ERAL1,0,0,0,0,0,0,0,0,0,0,0
KIDINS220,0,0,0,0,0,0,0,0,0,0,0
SLC37A1,0,0,0,0,0,0,0,0,0,0,0
PROP1,0,0,0,0,0,0,0,0,0,0,0
GALNT4,0,0,0,0,0,0,0,0,0,0,0
MAML3,0,0,0,0,0,0,0,0,0,0,0
TOR3A,0,0,1,0,0,0,0,0,0,0,1
LSM14B,0,0,0,0,0,0,0,0,0,0,0
TAF6,0,0,0,0,0,0,0,0,0,0,0
NUP155,1,1,0,0,0,0,0,0,0,0,2
HPS5,0,0,1,0,0,0,0,0,0,0,1
ZFAND2B,0,0,0,0,0,0,0,0,0,0,0
PSKH1,0,0,0,0,0,0,0,0,0,0,0
GPBP1L1,0,0,0,0,0,0,0,0,0,0,0
ZDHHC6,0,0,0,0,0,0,0,0,0,0,0
LTBP1,0,0,0,0,0,0,0,0,0,0,0
A1BG,0,0,0,0,0,0,0,0,0,0,0
USP40,0,0,0,0,0,0,0,0,0,0,0
CCDC80,0,0,0,0,0,0,0,0,0,0,0
MSS51,0,0,0,0,0,1,0,0,0,0,1
COL4A2,0,1,0,0,0,0,0,0,0,0,1
ASPH,0,1,0,0,0,0,0,0,0,0,1
SLC12A8,0,0,0,0,0,0,0,0,0,0,0
EPG5,0,1,0,0,0,0,0,0,0,0,1
SF3B5,0,1,0,0,0,0,0,0,0,0,1
MBD3,0,0,0,0,0,0,0,0,0,0,0
PLEKHH1,0,0,0,0,1,0,0,0,0,0,1
PLA2G6,0,1,0,0,0,0,0,0,0,0,1
OSBPL9,1,0,0,0,0,0,0,0,0,0,1
TMCC2,0,0,0,0,0,0,0,0,0,0,0
PHF21A,0,1,0,0,0,0,0,0,0,0,1
GSG1,0,0,0,0,0,0,0,0,0,0,0
GNG12,0,0,0,0,0,0,0,0,0,0,0
C6orf226,0,0,0,0,0,0,0,0,0,0,0
FAM53A,0,0,0,0,0,0,0,0,0,0,0
ARPC2,0,0,0,0,0,0,0,0,0,0,0
EBAG9,0,0,0,0,0,0,0,0,0,0,0
CSPG5,0,0,0,0,1,0,0,0,0,0,1
UFSP1,0,0,0,0,0,0,0,0,0,0,0
MTX1,0,0,0,0,0,0,0,0,0,0,0
CCDC102B,0,0,1,0,0,0,0,0,0,0,1
SUPT20H,0,0,0,0,0,0,0,0,0,0,0
C1orf159,0,0,0,0,0,0,0,0,0,0,0
BLZF1,0,0,1,0,0,0,0,1,0,0,2
ARL15,0,1,1,0,0,0,0,0,0,0,2
VPS18,0,0,0,0,0,0,0,0,0,0,0
AMMECR1L,0,0,0,0,0,0,0,0,0,0,0
HSF2,0,0,0,0,0,0,0,0,0,0,0
PGPEP1,0,0,0,0,0,0,0,0,0,0,0
DENND6B,0,0,0,0,0,0,0,0,0,0,0
PSMA8,0,0,0,0,0,0,0,0,0,0,0
SACM1L,0,0,0,0,0,0,0,0,0,0,0
PAK6,0,0,0,0,0,0,0,0,0,0,0
HINT1,0,1,0,0,0,0,0,0,0,0,1
CORT,0,0,0,0,0,0,0,0,0,0,0
LEPROTL1,0,0,0,0,0,0,0,0,0,0,0
CNOT6L,0,0,0,0,0,0,0,0,0,0,0
FAM13A,0,0,1,0,0,0,1,0,0,0,2
RAB3D,0,0,0,0,0,0,0,0,0,0,0
XIRP2,1,1,0,0,0,0,0,0,0,0,2
ITGA11,0,0,0,0,1,0,0,0,0,0,1
POLR3B,0,0,0,0,0,0,0,0,0,0,0
CRISP3,0,0,0,0,0,0,0,0,0,0,0
AKNA,0,0,0,0,0,0,0,0,0,0,0
RASSF2,0,0,0,0,0,0,0,0,0,0,0
NEO1,0,0,0,0,0,0,0,0,0,0,0
DUSP2,0,0,0,0,0,0,0,0,0,0,0
TRIM3,0,0,0,0,0,0,0,0,0,0,0
SYCP2,0,0,0,0,0,0,0,0,0,0,0
POLR3C,0,1,0,0,0,0,0,0,0,0,1
SIN3A,1,0,0,0,1,0,0,0,0,0,2
ZDHHC3,0,0,0,0,1,0,0,0,0,0,1
RFX4,0,0,0,0,0,0,0,0,0,0,0
CCNK,0,0,0,0,0,0,0,0,0,0,0
MISP,0,0,0,0,0,0,0,0,0,0,0
S100A10,0,0,0,0,0,0,0,0,0,0,0
NDUFB3,0,0,0,0,0,0,0,0,0,0,0
ZDHHC14,0,0,0,0,0,0,0,0,0,0,0
ZNF304,0,0,0,0,0,0,0,0,0,0,0
UGDH,0,0,0,0,0,0,0,0,0,0,0
ZFHX3,1,0,1,1,0,0,0,0,0,0,3
CYP2A6,0,0,0,0,0,0,0,0,0,0,0
HMGCS1,1,0,0,0,0,0,0,0,0,0,1
RASSF7,0,0,0,0,0,0,0,0,0,0,0
GZMH,0,0,0,0,0,0,0,0,0,0,0
PAPOLG,0,0,0,0,0,0,0,0,0,0,0
KMT2E,0,1,0,0,0,0,0,0,0,0,1
RPL38,0,0,0,0,0,0,0,0,0,0,0
KCNK17,0,0,0,0,0,0,0,0,0,0,0
CBLL1,0,0,0,0,0,0,0,0,0,0,0
RCOR1,0,1,0,0,0,0,0,0,0,0,1
TRIM16,0,0,0,0,0,0,0,0,0,0,0
ACD,0,0,0,0,0,0,0,0,0,0,0
DGKZ,0,0,0,0,0,0,0,0,0,0,0
LENG8,0,0,1,0,0,0,0,0,0,0,1
POLN,0,0,0,0,0,0,0,0,0,0,0
GABARAPL2,1,0,0,0,0,0,0,0,0,0,1
CAMK4,0,0,0,1,0,0,0,0,0,0,1
CSMD1,0,0,0,0,0,0,1,0,0,0,1
TTPAL,0,0,0,0,0,0,0,0,0,0,0
HCCS,0,0,0,0,0,0,0,0,0,0,0
FAM178B,0,0,0,0,0,0,0,0,0,0,0
ST14,0,0,0,0,1,0,0,0,0,0,1
ST13,0,0,0,0,0,0,0,0,0,0,0
FBXL20,0,0,0,0,0,0,0,0,0,0,0
PPP6R2,0,0,0,0,0,0,0,0,0,0,0
TXNDC2,0,0,0,0,0,0,0,0,0,0,0
WFDC2,0,0,0,0,0,0,0,0,0,0,0
MBNL2,0,1,0,0,0,0,0,0,0,0,1
KIF14,0,1,0,0,0,0,0,0,0,0,1
SEC63,0,0,0,0,0,0,0,0,0,0,0
ABCF3,0,0,0,0,0,0,0,0,0,0,0
NACAD,0,0,0,0,0,0,0,0,0,0,0
RAD54B,0,0,0,0,0,0,0,0,0,0,0
TSC22D2,0,0,0,0,0,0,1,0,0,0,1
TNXB,0,0,0,0,0,0,0,0,0,0,0
DAGLA,0,0,0,1,0,0,0,0,0,0,1
CA2,0,0,0,0,0,0,0,0,0,0,0
C19orf18,0,0,0,0,0,0,0,0,0,0,0
ATPAF2,0,0,0,0,0,0,0,0,0,0,0
ABCA2,0,0,0,0,0,0,0,0,0,0,0
LAMTOR5,0,0,0,0,0,0,0,0,0,0,0
IL12A,0,0,0,0,0,0,1,0,0,0,1
ABCC6,0,0,0,1,0,0,0,0,0,0,1
CARNS1,0,0,0,0,0,0,0,0,0,0,0
ALG11,1,0,0,0,0,0,0,0,0,0,1
FAM86B2,0,0,0,0,0,0,0,0,0,0,0
RHOC,1,0,1,0,0,0,0,0,0,0,2
SFPQ,0,0,0,0,0,0,0,0,0,0,0
VRK1,1,0,0,0,0,0,0,0,0,0,1
PKMYT1,0,0,0,0,0,0,0,0,0,0,0
CCIN,0,0,1,0,0,0,0,0,0,0,1
DOCK8,0,0,0,0,0,0,0,0,0,0,0
NCK2,0,0,0,0,0,0,0,0,0,0,0
RELL1,0,0,0,0,0,0,0,0,0,0,0
DCUN1D4,0,0,0,0,0,0,0,0,0,0,0
NUDT14,0,0,0,0,0,0,0,0,0,0,0
PGF,0,0,0,0,0,0,0,0,0,0,0
MTBP,0,0,0,0,0,0,0,0,0,0,0
MCOLN1,0,0,0,0,0,0,0,0,0,0,0
SCOC,0,0,0,0,0,0,0,0,0,0,0
ADAM17,0,0,0,0,0,0,0,0,0,0,0
FAM45A,1,0,0,0,0,0,0,0,0,0,1
MORN1,0,0,0,0,0,0,0,0,0,0,0
ZNF606,0,0,0,0,0,0,0,0,0,0,0
STK40,0,0,0,0,0,0,0,0,0,0,0
ZNF135,0,0,0,0,0,0,0,0,0,0,0
BCAS4,0,0,0,0,0,0,0,0,0,0,0
CFL1,0,0,0,0,0,0,0,0,0,0,0
HP,0,0,0,0,0,0,0,0,0,0,0
PCSK9,0,0,0,0,0,0,0,0,0,0,0
CPAMD8,1,0,0,0,0,0,1,0,0,0,2
PANK1,0,0,0,0,0,0,0,0,0,0,0
CHADL,0,0,0,0,0,0,0,0,0,0,0
ANO8,0,0,0,0,0,0,0,0,0,0,0
ZNF211,0,0,0,1,0,0,0,0,0,0,1
ACTL6A,0,0,0,0,0,0,0,0,0,0,0
COASY,0,0,0,0,0,0,0,0,0,0,0
DSP,1,0,0,0,0,0,0,0,0,0,1
CEACAM21,0,0,0,1,0,0,0,0,0,0,1
CYTH2,0,0,0,0,0,0,0,0,0,0,0
FGF17,0,0,0,0,0,0,0,0,0,0,0
S100A13,0,0,0,0,0,0,0,0,0,0,0
THUMPD2,0,0,0,0,0,0,0,0,0,0,0
PDS5B,0,0,0,0,1,0,0,0,0,0,1
RAB32,1,0,0,0,0,0,0,0,0,0,1
AEBP1,0,0,0,0,0,0,0,0,0,0,0
MTMR10,0,0,0,0,0,0,0,0,0,0,0
ABHD17C,0,1,0,0,0,0,0,0,0,0,1
ZNF234,0,0,0,0,0,0,0,0,0,0,0
PAGR1,0,0,0,0,1,0,0,0,0,0,1
SLC9A5,0,0,0,0,1,0,0,0,0,0,1
RPS2,0,0,0,0,0,0,0,0,0,0,0
EYA4,0,0,0,0,0,0,0,0,0,0,0
HSD17B10,0,0,0,0,0,0,0,0,0,0,0
ZNF197,1,1,0,0,0,0,0,0,0,0,2
GATC,0,0,0,0,0,0,0,0,0,0,0
TAC3,0,0,0,0,0,0,0,0,0,0,0
SKIDA1,0,0,0,0,0,0,0,0,0,0,0
SP7,0,0,0,0,0,0,0,0,0,0,0
MEIS3,0,0,0,0,0,0,0,0,0,0,0
WDR18,0,0,0,0,0,0,0,0,0,0,0
ATP1B2,0,0,0,0,0,0,0,0,0,0,0
AICDA,0,0,0,0,0,0,0,0,0,0,0
CELSR1,0,0,0,0,0,0,0,0,0,0,0
PRKAA2,0,0,0,0,0,0,0,0,0,0,0
WDR89,1,0,0,0,0,0,0,0,0,0,1
PRDM10,0,0,0,0,0,0,0,0,0,0,0
ZRANB2,0,0,0,0,0,0,0,0,0,0,0
ADAMTS6,0,1,0,0,0,0,0,0,0,0,1
SERAC1,0,0,0,0,0,0,0,0,1,0,1
DEPTOR,0,0,0,0,0,0,0,0,0,0,0
THAP2,0,0,0,0,0,0,0,0,0,0,0
ASL,0,0,0,0,0,0,0,0,0,0,0
SIDT2,0,0,1,0,0,1,0,0,0,0,2
BMP8B,0,0,0,0,0,0,0,0,0,0,0
SLC12A5,0,0,0,0,0,0,0,0,0,0,0
UNK,0,0,0,0,0,0,0,0,0,0,0
FAM89A,0,0,0,0,0,0,0,0,0,0,0
DYRK3,0,1,0,0,0,0,0,0,0,0,1
LRRC34,0,0,0,0,0,0,0,0,0,0,0
COX17,0,0,0,0,0,0,0,0,0,0,0
RAB15,0,0,0,0,1,0,0,0,0,0,1
KMT2A,1,1,0,1,1,0,0,0,0,0,4
E2F5,0,0,0,0,0,0,0,0,0,0,0
IPP,0,0,0,0,0,0,0,0,0,0,0
TRPM2,0,0,0,0,0,0,0,0,0,0,0
C12orf50,0,0,0,0,0,0,0,0,0,0,0
DYNLT1,1,0,0,0,0,0,0,0,0,0,1
SLC16A3,0,0,0,0,0,0,0,0,0,0,0
DNMT1,0,0,0,1,0,0,0,0,0,0,1
CD1E,0,0,0,0,0,0,0,0,0,0,0
PAOX,0,0,0,0,0,0,0,0,0,0,0
PLXNB2,0,0,0,0,0,0,0,0,0,0,0
TRMT61A,0,0,0,0,0,0,0,0,0,0,0
SYT7,0,0,0,0,0,0,0,0,0,0,0
CLCNKA,0,0,0,0,0,0,0,0,0,0,0
NCOA7,0,0,0,0,0,0,0,0,0,0,0
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0
