Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,COUNT
AKT2,0,0,0,0,0,0,0,0,0,0,0,0,0
FLT4,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFRA,0,0,0,0,0,0,0,0,0,0,0,0,0
MTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAF,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFB,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT3,1,0,0,0,0,0,0,0,0,0,0,0,1
AKT1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFB,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRD5,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRFIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR55,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPAD1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPN2,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L2,0,0,0,0,0,0,0,0,0,0,0,0,0
BRD7,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCDC2,0,0,0,0,0,0,0,0,0,0,0,0,0
DNLZ,0,0,0,0,0,0,0,0,0,0,0,0,0
LCE1D,0,0,0,0,0,0,0,0,0,0,0,0,0
CPVL,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS6KC1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO31,0,0,0,0,0,0,0,0,0,0,0,0,0
APOL2,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0,0,0,0,0,0,0,0,0,0,0,0,0
KLF9,0,0,0,0,0,0,0,0,0,0,0,0,0
PAX5,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCA8,0,0,0,0,0,0,0,0,0,0,0,0,0
RCOR2,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H3,0,0,0,0,0,0,0,0,0,0,0,0,0
PSKH2,0,0,0,0,0,0,0,0,0,0,0,0,0
GDF2,0,0,0,0,0,0,0,0,0,0,0,0,0
P4HTM,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0,0,0
CXCL10,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB3,1,0,0,0,0,0,0,0,0,0,0,0,1
SHISA9,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN2A2,0,0,0,0,0,0,0,0,0,0,0,0,0
LUC7L,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXC1,0,0,0,0,0,0,0,0,0,0,0,0,0
CST9,0,0,0,0,0,0,0,0,0,0,0,0,0
GML,0,0,0,0,0,0,0,0,0,0,0,0,0
SIK2,1,0,0,0,0,0,0,0,0,0,0,0,1
FRG1,0,0,0,0,0,0,0,0,0,0,0,0,0
MED7,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX4,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT3,0,0,0,0,0,0,0,0,0,0,0,0,0
BCCIP,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT5,0,0,0,0,0,0,0,0,0,0,0,0,0
CDH10,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP3CC,0,0,0,0,0,0,0,0,0,0,0,0,0
GREM1,0,0,0,0,0,0,0,0,0,0,0,0,0
HBG2,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf62,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP30L,0,0,0,0,0,0,0,0,0,0,0,0,0
MRFAP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0
GFRA4,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCB,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPB6,0,0,0,0,0,0,0,0,0,0,0,0,0
SF3B1,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2M,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM21,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G4A,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB38,0,0,0,0,0,0,0,0,0,0,0,0,0
MPDZ,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRC5A,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BM,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC44A5,0,0,0,0,0,0,0,0,0,0,0,0,0
XBP1,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPV,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf48,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC8,1,0,0,0,0,0,0,0,0,0,0,0,1
BMP10,0,0,0,0,0,0,0,0,0,0,0,0,0
CARM1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBLN7,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO46,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMA6,0,0,0,0,0,0,0,0,0,0,0,0,0
SP8,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS3L,0,0,0,1,0,0,0,0,0,0,0,0,1
CCIN,0,0,0,0,0,0,0,0,0,0,0,0,0
CHMP3,0,0,0,0,0,0,0,0,0,0,0,0,0
NMU,0,0,0,0,0,0,0,0,0,0,0,0,0
CTPS1,1,0,0,0,0,0,0,0,0,0,0,0,1
ANO9,0,0,0,0,0,0,0,0,0,0,0,0,0
NIPSNAP3A,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH7,0,0,0,0,0,0,0,0,0,0,0,0,0
OLFML3,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGI1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAAF2,0,0,0,0,0,0,0,0,0,0,0,0,0
ETNPPL,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB3GAP1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCOC,0,0,0,0,0,0,0,0,0,0,0,0,0
CPNE7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOX1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYEF2,0,0,0,0,0,0,0,0,0,0,0,0,0
OLFML2A,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD9,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT1,0,0,0,0,0,0,0,0,0,0,0,0,0
POP7,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC9C,0,0,0,0,0,0,0,0,0,0,0,0,0
ATF1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH3A1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5AR2,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSS1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX2,0,0,0,0,0,0,0,0,0,0,0,0,0
LTB4R,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BL,1,0,0,0,0,0,0,0,0,0,0,0,1
KPNA2,0,0,0,0,0,0,0,0,0,0,0,0,0
KLK13,0,0,0,0,0,0,0,0,0,0,0,0,0
C12orf43,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH15,0,0,0,0,0,0,0,0,0,0,0,0,0
DLK2,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL14,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRC,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB1,0,0,0,0,0,0,0,0,0,0,0,0,0
EBF4,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDHGA8,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO,1,0,0,0,0,0,0,0,0,0,0,0,1
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10A,0,0,0,0,0,0,0,0,0,0,0,0,0
KLRG1,0,0,0,0,0,0,0,0,0,0,0,0,0
GBA,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC20B,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSL1,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF25,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR2A,0,0,0,0,0,0,0,0,0,0,0,0,0
WNK2,0,0,0,0,0,0,0,0,0,0,0,0,0
VHLL,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHS2,0,0,0,0,0,0,0,0,0,0,0,0,0
TAC3,0,0,0,0,0,0,0,0,0,0,0,0,0
GUF1,0,0,0,0,0,0,0,0,0,0,0,0,0
TCHHL1,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC26,0,0,0,0,0,0,0,0,0,0,0,0,0
LPGAT1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAN1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLX4IP,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF398,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP135,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM241,0,0,0,0,0,0,0,0,0,0,0,0,0
C11orf24,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC8B,0,0,0,0,0,0,0,0,0,0,0,0,0
MAST2,0,0,0,0,0,0,0,0,0,0,0,0,0
FMO3,0,0,0,0,0,0,0,0,0,0,0,0,0
CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAP3,0,0,0,0,0,0,0,0,0,0,0,0,0
TERF2IP,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPRM,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF2A,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0,0,0,0,0,0
SPATA6L,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM55,0,0,0,0,0,0,0,0,0,0,0,0,0
SPATS1,0,0,0,0,0,0,0,0,0,0,0,0,0
AXIN1,0,0,0,0,0,0,0,0,0,0,0,0,0
RARB,1,0,0,0,0,0,0,0,0,0,0,0,1
FKBP9,0,0,0,0,0,0,0,0,0,0,0,0,0
LY96,0,0,0,0,0,0,0,0,0,0,0,0,0
WRAP73,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf72,0,0,0,0,0,0,0,0,0,0,0,0,0
PDLIM3,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL3,0,0,0,0,0,0,0,0,0,0,0,0,0
WDSUB1,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG5,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP41,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A9,0,0,0,0,0,0,0,0,0,0,0,0,0
MYF5,0,0,0,0,0,0,0,0,0,0,0,0,0
PCGF6,0,0,0,0,0,0,0,0,0,0,0,0,0
MICU1,0,0,0,0,0,0,0,0,0,0,0,0,0
P2RX2,0,0,0,0,0,0,0,0,0,0,0,0,0
RRBP1,1,0,0,0,0,0,0,0,0,0,0,0,1
BBS9,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF596,0,0,0,0,0,0,0,0,0,0,0,0,0
CELSR2,0,0,0,0,0,0,0,0,0,0,0,0,0
TREML1,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL32,0,0,0,0,0,0,0,0,0,0,0,0,0
MT1G,0,0,0,0,0,0,0,0,0,0,0,0,0
NRXN2,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBA1B,0,0,0,0,0,0,0,0,0,0,0,0,0
OXCT2,0,0,0,0,0,0,0,0,0,0,0,0,0
NAF1,0,0,0,0,0,0,0,0,0,0,0,0,0
EFNA3,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYGS,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB10,0,0,0,0,0,0,0,0,0,0,0,0,0
C16orf90,0,0,0,0,0,0,0,0,0,0,0,0,0
